date,ARM,Hays,Google,Sky,Sainsbury&#39;s,"Bloomberg LP","Morgan Stanley","Goldman Sachs","Rackspace, the #1 managed cloud company",Facebook,"JPMorgan Chase &amp; Co.",Alcatel-Lucent,"Expedia, Inc.",Xcede,Sophos,"See More","IC Resources","Confidential Company - Undisclosed","NJF Global Holdings Ltd","Amazon UK",Amazon,"Bank of America",Framestore,Oracle,Turnitin,"Digital Gurus | Digital Recruitment - London, Sydney, Dubai",Dell,Thales,"BAE Systems Applied Intelligence","Opus Recruitment Solutions",Microsoft,"Softweb LLC",Symantec,"Dell SecureWorks","Experis IT","Go IT Recruitment Limited",CGI,"Pro-Quest Resourcing Ltd","microTECH global","Edgar Cowen","Pro Quest",Cisco,Citi,mployability,"Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV",Adzuna,TipTopJob,"Job Heaven","Credit Suisse",MOO,Incite,"techfolk Ltd","Skyscape Cloud Services",Markit,Deloitte,"Opus Resourcing Ltd"
2015-06-02,59,36,29,27,,15,,11,,,,,,,,11,85,,21,15,15,19,15,,,,14,,,,,14,,,16,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,57,36,29,26,,15,,,,,,,,,,11,86,,21,16,16,19,15,,,,14,,,,,14,,,16,11,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,59,36,29,24,,15,,,,,11,,,,,11,113,,21,16,15,19,15,11,,,14,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,55,31,29,28,7,16,11,10,10,10,11,,,,,5,,,,,,,,,,8,,,8,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-06,59,31,29,28,,16,,,,,11,,,,,11,115,18,15,14,14,16,16,,,,14,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-07,59,31,29,28,,16,11,,,,11,,,,,11,90,14,15,14,14,15,15,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,56,30,30,29,,16,11,,,,11,,,,,11,83,14,15,14,14,15,15,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,53,32,31,26,7,15,11,10,10,10,9,,,6,,6,,,,,,,,,8,8,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,53,31,30,28,7,15,11,10,10,10,9,,,6,,5,,,,,,,,,,8,,,8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,59,31,30,28,,16,11,,,,11,,,,,11,89,14,15,16,14,19,14,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,61,37,30,31,,17,11,,,,,,,,,10,89,21,17,16,14,17,14,10,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-13,58,37,30,31,7,17,12,10,10,9,8,,,6,,5,,,,,,,,,,8,,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-14,58,37,30,31,7,17,12,10,10,9,8,,,6,,5,,,,,,,,,,8,,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,55,37,32,27,7,14,12,10,10,9,7,,,6,,5,,,,,,,,,,8,,,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,55,34,30,26,7,15,12,9,10,9,,,,6,,5,,,,,,,,,9,8,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,56,30,31,26,13,14,11,9,10,9,10,,,6,,6,,,,,,,,,,7,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,56,31,31,24,13,14,11,9,10,9,12,,,6,,6,,,,,,,,,9,6,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,55,33,31,22,13,15,,,,,,,,,,11,95,22,18,17,19,14,14,11,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-20,55,33,31,22,13,15,,,,,,,,,,12,94,22,18,17,18,14,13,12,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21,55,33,31,22,13,15,11,9,10,9,10,8,,6,,6,,,,,,,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,56,33,28,23,13,15,11,,,,,,,,,11,95,30,18,16,17,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,57,30,28,22,13,14,,,,,13,,,,,11,91,30,18,18,17,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,57,29,28,19,13,12,11,10,10,9,9,8,6,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
