date,"VCD IT Groep",GlobalCollect,Accenture,Capgemini,Hays,Liander,Topicus,Oracle,EY,"See More",Microsoft,"Spring Technology","Sogeti Netherlands",Valid,IBM,"Working Class Heroes",EclipseIT,"de Bijenkorf","Sogeti Nederland","Computer Futures, ein Geschäftszweig der SThree GmbH",ilionx,"HUMANCAPiTAL BV","CareerValue B.V.","Twente Branding","PHP Professionals",ChipSoft,"WFM People","Info Support","Liberty Global"
2015-07-07,30,24,5,11,7,,6,,5,5,,7,47,5,,,,,,,,,,,,,,,
2015-07-08,29,25,5,10,8,,6,,9,5,,7,47,5,,,,,,,,,,,,,,,
2015-07-09,31,25,5,9,10,,6,,9,5,,7,48,5,,,,,,,,,,,,,,,
2015-07-10,31,24,7,10,10,7,6,,9,5,,7,48,5,,,,,,,,,,,,,,,
2015-07-11,21,23,6,8,10,7,6,,9,6,,7,15,,,,,,,,,,,,,,,,
2015-07-12,12,23,6,7,11,6,6,,9,6,,7,,,,,,,,,,,,,,,,,
2015-07-13,12,22,6,7,11,6,6,,9,6,,7,,,,,,,,,,,,,,,,,
2015-07-14,16,23,6,9,9,6,6,,9,6,,,,,,,,,,,,,,,,,,,
2015-07-15,17,23,11,8,9,7,6,5,9,5,,,,,,,,,,,,,,,,,,,
2015-07-16,28,24,11,8,9,,6,5,9,5,5,,,,,,,,,,,,,,,,,,
2015-07-17,29,24,18,10,9,,6,,9,5,5,,,,,,,,,,,,,,,,,,
2015-07-18,26,24,18,10,9,,6,,9,5,5,,,,,,,,,,,,,,,,,,
2015-07-19,26,24,18,10,9,,6,5,9,5,5,,,,,,,,,,,,,,,,,,
2015-07-20,18,24,18,10,8,5,6,5,9,5,5,,,,,,,,,,,,,,,,,,
2015-07-21,18,23,18,8,9,6,6,5,5,5,,,,,,,,,,,,,,,,,,,
2015-07-22,29,22,17,8,7,6,6,5,5,5,,,,,,,,,,,,,,,,,,,
