date,London,Manchester,Edinburgh,Swindon,Reading,Nottingham,Leeds,Birmingham,Bristol,"Milton Keynes",Twickenham,"Kingston upon Thames",Northampton,Redhill,"See More",Slough,Glasgow,Oxford,Coventry,Chester,Portsmouth,Southall,Watford,Guildford,Derby,Gloucester,Cambridge,Chelmsford,Sheffield,Brighton,"Newcastle upon Tyne",Belfast,Bournemouth,Llandudno,"Hemel Hempstead",Bradford,Stockport,Carlisle,Peterborough
2015-07-14,269,19,23,,21,14,9,18,12,8,,,,,8,,16,13,9,,,,,,,,,,,,,,,,,,,,
2015-07-15,265,22,23,,19,14,8,14,10,9,,6,,,6,,15,13,8,,,,,,,,,,,,,,,,,,,,
2015-07-16,270,23,24,,18,15,10,,9,10,,5,,6,5,9,15,14,8,,,,,,,,,,,,,,,,,,,,
2015-07-17,277,19,25,,19,17,9,15,8,9,,,,6,6,,15,14,8,7,,,,,,,,,,,,,,,,,,,
2015-07-18,282,19,26,,19,16,9,17,8,9,,,,6,6,,18,15,8,7,,,,,,,,,,,,,,,,,,,
2015-07-19,281,17,27,,19,10,8,13,8,10,,,,6,6,,17,13,9,6,,,,,,,,,,,,,,,,,,,
2015-07-20,283,21,25,,16,13,9,14,8,10,,5,,6,5,,17,13,9,,,,,,,,,,,,,,,,,,,,
2015-07-21,287,22,22,17,17,12,10,13,8,,,5,,6,5,,16,13,8,,,,,,,,,,,,,,,,,,,,
2015-07-22,280,21,23,17,18,13,11,12,8,,7,6,7,,6,10,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,295,24,21,21,20,14,13,11,9,8,8,7,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,
