date,London,"Kingston upon Thames",Nottingham,Twickenham,Birmingham,Reading,Manchester,Slough,"Milton Keynes",Guildford,Watford,Chester,Leeds,Redhill,"See More"
2015-05-21,174,,,,5,,,5,5,,,,,,
2015-05-22,181,,,,,,5,5,,,,,,,
2015-05-23,179,,,,,,,,,,,,,,
2015-05-24,178,,,,,,,,,,,,,,
2015-05-25,177,,,,,,,,,,,,,,
2015-05-26,174,,,,,,,,,,,,,,
2015-05-27,178,,,,,,,,,,,,,,
2015-05-27,174,,,,,,,,,,,,,,
2015-05-28,171,,,,,,,,,,,,,,
2015-05-29,169,,,,,,,,,,,,,,
2015-05-30,160,,,,,,,,,,,,,,
2015-05-31,158,,,,,,,,,,,,,,
2015-06-01,161,,,,5,,,,,,,,,,
2015-06-02,164,,,,5,,,,,,,,,,
2015-06-03,161,,,,5,,,,,,,,,,
2015-06-04,164,,,,5,,,,,,,,,,
2015-06-05,157,,,,,,,,,,,,,,
2015-06-06,158,,,,,,,,,,,,,,
2015-06-07,160,,,,,,,,,,,,,,
2015-06-08,163,,,,,5,,,,,,,,,
2015-06-09,157,,,5,,5,,,,,,,,,
2015-06-10,152,,,5,,,,,,,,,,,
2015-06-11,150,,,5,,,,,,,,,,,
2015-06-12,161,,,5,,,,,,,,,,,
2015-06-13,165,,,5,,,,,,,,,,,
2015-06-14,164,,,5,,,,,,,,,,,
2015-06-15,172,,,5,,,,,,,,,,,
2015-06-16,169,,,5,,,,,,,,,,,
2015-06-17,167,,,5,,,,,,,,,,,
2015-06-18,161,,,5,,,,,,,,,,,
2015-06-19,159,,,5,,,,,,,,,,,
2015-06-20,160,,,5,,,,,,,,,,,
2015-06-21,155,,,5,,,,,,,,,,,
2015-06-22,158,,,,,,,,,,,,,,
2015-06-23,162,,,,,,,,,,,,,,
2015-06-24,164,,,,,,,,,,,,,,
2015-06-25,163,,,,,,,,,,,,,,
2015-06-26,164,,,,,,,,,,,,,,
2015-06-27,167,,,,,,,,,,,,,,
2015-06-28,167,,,,,,,,,,,,,,
2015-06-29,169,,,,,,,,,,,,,,
2015-06-30,179,,,,,,,,,,,,,,
2015-07-01,195,,,,,,,,,,,,,,
2015-07-02,187,,,,,,,,,,,,,,
2015-07-03,182,,,,8,,,,,,,,,,
2015-07-04,180,,,,5,,,,,,,,,,
2015-07-05,183,,,,5,,,,,,,,,,
2015-07-07,189,,,,5,,,,,,,,,,
2015-07-08,192,,,,5,,,,,,,,,,
2015-07-09,182,,5,,,,,,,,,,,,
2015-07-10,185,,5,,,,,,,,,,,,
2015-07-11,187,,5,,5,,,,,,,,,,
2015-07-12,186,,7,,5,,,,,,,,,,
2015-07-13,192,,5,,5,,,,,,,,,,
2015-07-14,194,,5,,5,,,,,,,,,,
2015-07-15,199,5,5,,5,,,,,,,,,,
2015-07-16,202,5,7,,5,,,,,,,,,,
2015-07-17,200,5,7,,5,,,,,,,,,,
2015-07-18,199,5,7,,5,,,,,,,,,,
2015-07-19,200,5,7,,5,,,,,,,,,,
2015-07-20,203,5,7,,5,,,,,,,,,,
2015-07-21,204,,8,5,5,,,,,,,,,,
2015-07-22,208,,5,5,,,,,,,,,,,
2015-07-23,218,7,5,,,,,,,,,,,,
