date,Paris,Lyon,Lille,Toulouse,Rennes,Bordeaux,Marseille,Montpellier,Chambéry,Metz,Orléans,"Le Havre",Mulhouse,"See More",Nantes,Tours,Reims,Nice,Strasbourg,Grenoble,Saint-Étienne,Rouen,Rhone-Alpes,Bourges,Dijon,Pau,Limoges,"La Rochelle",Clermont-Ferrand
2015-06-20,297,38,22,26,17,21,15,,,,,,13,12,21,,,13,17,,12,15,,,12,,,,
2015-06-21,292,38,22,25,16,20,15,,,,,,10,10,21,,,13,16,,14,13,,,11,,,,
2015-06-22,300,40,22,20,11,,16,,,6,8,,10,5,20,,,13,,,,,5,7,,,,,
2015-06-23,297,39,22,19,12,,16,,,7,11,,14,5,20,,,13,,,,,5,8,,,,,
2015-06-24,304,36,20,18,11,,16,,,8,9,,13,5,19,,,13,,,,,5,6,,,,,
2015-06-25,302,36,21,26,11,20,18,,9,,9,,13,9,19,,,13,16,,12,,,,,,,,
2015-06-26,302,37,19,28,11,22,18,,,,,8,12,8,19,,,13,16,,15,9,,,,,,,
2015-06-27,293,38,17,28,11,20,19,,8,,,,13,8,18,,,12,17,,15,9,,,,,,,
2015-06-28,295,39,19,30,9,20,17,,,,,,11,5,18,,,12,,,,,5,,,,,,
2015-06-29,299,38,22,31,10,21,17,,,,,,12,9,17,,,12,15,9,13,10,,,,,,,
2015-06-30,315,37,22,33,13,21,20,,,,,,14,11,19,,,12,17,11,14,11,,,,,,,
2015-07-01,306,39,23,33,12,20,19,,,,12,,13,11,16,,,11,16,11,11,,,,,,,,
2015-07-02,310,40,23,36,14,20,18,,,5,12,,13,5,16,,,11,,,,,,,,,,,
2015-07-03,315,44,21,38,16,25,17,,,7,12,,14,7,15,,,9,,,,,,,,,,,
2015-07-04,315,44,13,36,16,27,18,,,6,12,,14,6,15,,,8,,,,,,,,,,,
2015-07-05,323,44,14,39,20,28,18,,,6,12,,14,6,24,,,9,,,,,,,,,,,
2015-07-06,329,44,14,39,20,27,18,,,6,12,,13,6,24,,,9,,,,,,,,,,,
2015-07-07,338,43,18,37,16,26,18,,,6,11,,12,6,18,,,9,,,,,,,,,,,
2015-07-08,353,45,27,27,16,23,19,,,9,13,,12,5,23,5,,8,,,,,,,,,,,
2015-07-09,330,43,27,37,16,22,17,,,6,11,,12,6,19,,,7,,,,,,,,,,,
2015-07-10,328,46,25,37,17,24,15,,,7,13,,12,7,20,,,7,,,,,,,,,,,
2015-07-11,341,45,29,29,17,24,18,,,10,15,,,8,25,,,8,,,,,,,,,,,
2015-07-12,353,43,31,31,16,23,21,12,,10,11,,,10,23,,,,,,,,,,,,,,
2015-07-13,358,42,32,30,16,23,21,,11,,12,8,,8,25,,,,,,,,,,,,,,
2015-07-14,359,47,32,28,16,24,20,,11,,12,8,,8,25,,,,,,,,,,,,,,
2015-07-15,359,46,31,29,18,23,21,,10,,10,,,5,26,5,7,,,,,,,,,,,,
2015-07-16,355,48,31,26,18,23,20,,9,,10,,13,5,26,5,7,,,,,,,,,,,,
2015-07-17,353,47,31,26,19,23,19,,10,,10,,12,5,25,6,5,,,,,,,,,,,,
2015-07-18,348,46,31,26,19,21,19,,10,,9,,12,5,25,6,5,,,,,,,,,,,,
2015-07-19,338,45,31,26,20,22,20,,10,,10,,11,5,28,5,6,,,,,,,,,,,,
2015-07-20,337,45,32,26,20,22,20,,10,,10,,10,5,28,5,6,,,,,,,,,,,,
2015-07-21,338,48,32,24,21,21,21,8,,9,9,,9,6,26,6,,,,,,,,,,,,,
2015-07-22,347,48,31,23,22,21,21,10,9,9,9,8,8,8,,,,,,,,,,,,,,,
