date,Proofpoint,Hays,Sky,"Williams &amp; Glyn",Capgemini,"KPMG UK",CGI,Deloitte,"Confidential Company - Undisclosed","See More","Defence Research and Development Organisation","UK Ministry of Defence",dbg,HSBC,"Nationwide Building Society","Head Office","Allianz Group","Application Centre Ltd","Xpat Jobs.com",IBM,"Careerwise, Inc"
2015-04-28,17,,,,,,,14,,,,,9,,,,7,6,,,
2015-04-29,17,,,,,,,14,,,,,8,,,,7,,,,
2015-04-30,17,,,,,,,14,,,,,8,,,,6,,,,
2015-05-01,14,,,,,,,14,,,,,8,,,,6,,,,
2015-05-02,14,,,,,,,14,,,,,8,,,,6,,,,
2015-05-03,14,,,,,,,14,,,,,8,,,,6,,,,
2015-05-04,14,,,,,,,14,,,,,8,,,,6,,,,
2015-05-05,14,,,,,,,14,,,,,8,,,,6,,,,
2015-05-06,12,,,,,,,14,,,,,8,,,,6,,,,
2015-05-07,12,,,6,,,,14,,,,,8,,,,6,,,,
2015-05-08,12,,,6,,,,14,,,,,8,,,,6,,,,
2015-05-09,12,,,6,,,,14,,,,,8,,,,5,,,,
2015-05-10,12,,,6,,,,14,,,,,8,,,,5,,,,
2015-05-11,12,,,6,,,,14,,,,,8,,,,5,,,,
2015-05-12,12,,,6,,,,14,,,,,,,,,,,,,
2015-05-13,12,,,6,,,,14,,,,,7,,,,,,,,
2015-05-14,12,,,6,,,,15,,,,,7,,,5,,,,,
2015-05-15,13,,,6,,,,15,,,,,7,,,5,,,,,
2015-05-16,29,,,6,,,,15,,5,,,6,5,,5,,,,,
2015-05-17,29,,,6,,,,15,,5,,,5,5,,5,,,,,
2015-05-18,29,,,6,,,,16,,5,,,7,5,,5,,,,,
2015-05-19,33,,,6,,,,16,,5,,,8,5,,5,,,,,
2015-05-20,38,,,6,,6,,16,,5,,,7,5,,,,,,,
2015-05-21,35,,,6,,,,15,,5,,,7,5,5,,,,,,
2015-05-22,35,,,6,,,,15,,,,,8,,,,,,,,
2015-05-23,36,,,6,,,,15,,,,,8,,,,,,,,
2015-05-24,37,,,6,,,,15,,,,,8,,,,,,,,
2015-05-25,39,,,6,,,,15,,,,,8,,,,,,,,
2015-05-26,39,,,6,,,,15,,,,,7,,,,,,,,
2015-05-27,39,,,6,,,,15,,,,,7,,,,,,,,
2015-05-27,39,,,6,,,,15,,,,,7,,,,,,,,
2015-05-28,39,,,,,,,15,,,,,7,,,,,,,,
2015-05-29,38,,,,,,,16,,,,,7,,,,,,,,
2015-05-30,40,,,,,,,16,,,,,,,,,,,,,
2015-05-31,40,,,,,,,16,,,,,,,,,,,,,
2015-06-01,40,,,,,,,15,,,,,,,,,,,,,
2015-06-02,39,,,,,,,15,,,,,,,,,,,,,
2015-06-03,39,,,,,,,16,,,,,,,,,,,,,
2015-06-04,45,,,6,,,,15,,,,,,,,,,,,,
2015-06-05,47,6,,6,,,,15,,,,,,,,,,,,,
2015-06-06,47,6,,6,,,,16,,,,,,,,,,,,,
2015-06-07,47,6,,6,,,,16,,,,,,,,,,,,,
2015-06-08,46,5,,6,,,,,,,,,,,,,,,,,
2015-06-09,48,,,6,,,,15,,,,,,,,,,,,,
2015-06-10,48,,,6,,,,,,,,,,,,,,,,,
2015-06-11,47,,,5,,,,,,,,,,,,,,,,,
2015-06-12,47,,,6,,,,8,7,5,5,5,,,,,,,,,
2015-06-13,47,,,6,,,,,,,,,,,,,,,,,
2015-06-14,46,,,6,,,,9,8,,5,,,,,,,,,,
2015-06-15,46,,,6,,,,,,,,,,,,,,,,,
2015-06-16,48,,,6,,6,,9,8,5,5,,,,,,,,,,
2015-06-17,46,,,6,,6,,,,,,,,,,,,,,,
2015-06-18,46,,,6,,7,,,,,,,,,,,,,,,
2015-06-19,46,,,6,,6,,,,,,,,,,,,,,,
2015-06-20,47,,,6,,6,,,,,,,,,,,,,,,
2015-06-21,47,,,6,,6,,17,8,5,5,,,,,,,,,,
2015-06-22,47,5,,6,,6,,,,,,,,,,,,,,,
2015-06-23,46,7,,6,,7,,,,,,,,,,,,,,,
2015-06-24,47,7,,6,,7,,,,,,,,,,,,,,,
2015-06-25,46,6,,6,,8,,,,,,,,,,,,,,,
2015-06-26,40,6,,6,,7,,,,,,,,,,,,,,,
2015-06-27,40,6,,6,,7,,17,9,6,,,,,,,,,,,
2015-06-28,40,6,,6,,7,,17,5,5,,,,,,,,,,,
2015-06-29,41,6,,6,,7,,17,5,5,,,,,,,,,,,
2015-06-30,42,6,,6,,7,,,,,,,,,,,,,,,
2015-07-01,45,7,,6,,7,,,,,,,,,,,,,,,
2015-07-02,45,9,,6,,7,,,,,,,,,,,,,,,
2015-07-03,43,12,,6,,7,6,,,,,,,,,,,,,,
2015-07-04,43,12,,6,,8,,,,,,,,,,,,,,,
2015-07-05,44,12,,6,,8,,,,,,,,,,,,,,,
2015-07-07,43,13,,6,,,,,,,,,,,,,,,,,
2015-07-08,43,13,6,6,5,,,,,,,,,,,,,,,,
2015-07-09,42,10,6,6,6,,,,,,,,,,,,,,,,
2015-07-10,41,10,6,6,6,,,,,,,,,,,,,,,,
2015-07-11,41,10,6,6,,,,,,,,,,,,,,,,,
2015-07-12,41,10,6,6,,,,,,,,,,,,,,,,,
2015-07-13,40,8,6,,,,,,,,,,,,,,,,,,
2015-07-14,39,8,6,,,,,,,,,,,,,,,,,,
2015-07-15,38,8,6,,,,,,,,,,,,,,,,,,
2015-07-16,37,9,6,,,,,,,,,,,,,,,,,,
