date,Atos,"Digital Gurus | Digital Recruitment - London, Sydney, Dubai",Elsevier,Teradata,IBM,Splunk,"Rackspace, the #1 managed cloud company",Hays,Xcede,"IS Recruitment Ltd",Microsoft,Cisco,"Think Big, a Teradata Company","Expedia, Inc.",MuleSoft,"See More","TIBCO Software Inc.",Vodafone,"Medidata Solutions","British Gas","BAE Systems Applied Intelligence",Excelian,BlueGlue,"Talent International","CD IT Recruitment","Schneider Electric","Confidential Company - Undisclosed",GfK,Qubit.,Adobe,"Berico Technologies",Quantcast,"Transport for London",CenturyLink,"Altius: Understand | Model | Predict",DataSift,FICO™,"FICO™ | Decisions","Global {M}",FICO,Cloudera,"Cambridge Life Sciences Associates, LLC",mployability,"Digital Gurus | Digital Recruitment - Global","IC Resources","Saatchi &amp; Saatchi Synergize","Seagate Technology","Digital Gurus | Digital Recruitment London, Sydney &amp; Dubai","Rubicon Project","Thomson Reuters","Xpat Jobs.com","Job Board Enterprises BV",CareerBuilder.com,"Pivotal Software, Inc.",Sky,"KP Recruiting Group"
2015-05-16,,,,20,17,17,25,,14,,,34,,,,12,,,,,,,,,,47,,,18,17,,18,,,,24,,,,24,,,,39,,17,12,,,,,,,,,
2015-05-17,,,17,20,17,16,25,,14,,,34,,,,14,,,,,,,,,,46,,,18,18,,18,,,,24,,,,24,,,,38,,15,,,,,,,,,,
2015-05-18,,,18,20,17,17,21,,14,,,36,,,,14,,,,,,,,,,46,,,18,18,,18,,,,24,,,,24,,,,38,14,,,,,,,,,,,
2015-05-19,,40,19,20,17,17,27,,14,,,35,,,,14,,,,,,,,,,47,,,19,18,,18,,,,24,,,,24,,,18,,,,,,,,,,,,,
2015-05-20,,40,18,20,16,17,25,,15,,,35,,,,15,,,,,,,,,,48,,,19,17,,18,,,,19,,,,24,,,21,,,,,,,,,,,,,
2015-05-21,,40,20,19,16,18,25,,16,,,34,,,,16,,,,,,,,,,51,,,19,17,,17,,,,19,,,,24,,,22,,,,,,,,,,,,,
2015-05-22,,37,21,21,18,18,27,,16,,,33,,,,16,,,,,,,,,,48,,,20,19,,16,,,,18,,,,24,,,22,,,,,,,,,,,,,
2015-05-23,,37,21,22,18,18,29,,16,,,35,,,,16,,,,,,,,,,48,,,20,19,,16,,,,18,,,,24,,,24,,,,,,,,,,,,,
2015-05-24,,37,22,22,18,18,29,,16,,,35,,,,16,,,,,,,,,,48,,,20,19,,16,,,,18,,,,24,,,24,,,,,,,,,,,,,
2015-05-25,,37,22,21,19,19,29,16,16,,,33,,,,16,,,,,,,,,,48,,,20,18,,16,,,,18,,,,23,,,,,,,,,,,,,,,,
2015-05-26,,38,25,21,19,19,29,17,15,,,33,,,,15,,,,,,,,,,48,,,20,18,,16,,,,18,,,,23,,,,,,,,,,,,,,,,
2015-05-27,,38,25,21,19,18,30,17,15,,,34,,,,15,,,,,,,,,,49,,,20,18,,16,,,,18,,,,21,,,,,,,,,,,,,,,,
2015-05-27,,39,25,21,19,18,30,15,14,,,32,,,,14,,,,,,,,,,49,,,20,18,,16,,,,18,,,,21,,,,,,,,,,,,,,,,
2015-05-28,,38,26,31,23,20,29,14,14,,,32,,,,14,,,,,,,,,,52,,,21,18,,16,,,,16,,,,21,,,,,,,,,,,,,,,,
2015-05-29,,38,26,30,24,22,29,14,14,,,34,,,,14,,,,,,,,,,54,,,21,17,,16,,,,17,,,,18,,,,,,,,,,,,,,,,
2015-05-30,,38,27,30,25,22,29,14,14,,,33,,,,14,,,,,,,,,,55,,,21,17,,16,,,,16,,,,18,,,,,,,,,,,,,,,,
2015-05-31,,38,27,30,25,22,29,14,,,,33,,,,14,,,,,,,,,,55,,,21,17,,16,,,,16,,,,18,,15,,,,,,,,,,,,,,
2015-06-01,,38,28,31,25,21,29,15,,,,32,,,,15,,,,,,,,,,55,,,18,17,,16,,,,16,,,,18,,16,,,,,,,,,,,,,,
2015-06-02,,38,29,31,24,19,29,18,,,,31,,,,16,,,,,,,,,,55,,,18,17,,16,,,,16,,,,18,,16,,,,,,,,,,,,,,
2015-06-03,,39,30,34,24,18,28,19,15,,,27,,,,15,,,,,,,,,,59,,,18,18,,,,,,15,,,,17,,16,,,,,,,,,,,,,,
2015-06-04,38,38,50,32,24,18,28,19,15,,,27,,,,15,,,,,,,,,,58,,,18,18,,,,,,,,,,17,,16,,,,,,,,,,,,,,
2015-06-05,38,35,50,30,23,17,28,,,,,29,,,,15,,,,,,,,,,58,,30,18,18,,,,,,15,,,,17,,16,,,,,,,,,,,,,,
2015-06-06,37,35,35,30,23,17,28,,,,,27,,,,16,,,,,,,,,,57,16,29,18,18,,,,,,,,,,17,,17,,,,,,,,,,,,,,
2015-06-07,,35,35,30,23,18,28,13,14,,,27,,,6,6,6,,,,9,,,,,,,,,,,,6,,7,,,,,,8,,,,,,,,,,,,,,,
2015-06-08,37,34,35,30,22,19,29,,15,,,27,,,,15,,,,,,,,,,57,15,29,18,18,,,,,,,,,,15,,,,,,,,,,,,,,,,
2015-06-09,38,34,34,30,23,19,30,,16,,,27,,,,14,,,,,,,,,,57,,29,18,16,,14,,,,,,,,15,,,,,,,,,,,,,,,,
2015-06-10,,35,34,31,23,21,30,15,15,,8,23,,,,6,6,,,,9,,,,,,,,,,,,6,,7,,,,6,,,,,,,,,,,,,,,,,
2015-06-11,38,35,33,30,24,19,28,,15,,,24,,,,15,,,,,,,,,,57,,27,18,18,,,,,,15,,15,,,,,,,,,,,,,,,,,,
2015-06-12,,36,26,30,24,19,28,13,14,,,24,,6,,6,,,7,,7,,,7,,,,,,,,,6,,7,,,,,,,,,,,,,,,,,,,,,
2015-06-13,,36,26,29,24,18,29,13,14,,,24,,6,,6,,,7,,6,,,7,,,,,,,,,6,,8,,,,,,,,,,,,,,,,,,,,,
2015-06-14,,36,26,29,24,13,29,13,14,,,24,,6,,6,,,7,,6,,,7,,,,,,,,,6,,8,,,,,,,,,,,,,,,,,,,,,
2015-06-15,39,35,26,28,24,16,30,17,,,,23,,,,16,,,,,,,,,,51,20,27,18,17,,,,,,,16,,,,,,,,,,,,,,,,,,,
2015-06-16,39,35,26,28,24,16,29,17,,,,23,,,,14,,,,,,,,,,51,20,27,18,17,,,,,,14,,,,,,,,,,,,,,,,,,,,
2015-06-17,,35,28,30,24,19,29,15,15,,,24,,,,6,6,,7,,,10,,6,,,,,,,,,6,,8,,,,,,,,,,,,,,,,,,,,,
2015-06-18,39,34,29,30,23,20,29,19,14,,,24,,,,14,,,,,,,,,,49,20,25,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,39,34,30,31,23,17,23,19,,,,24,,,,15,,,,,,,,,,52,20,23,19,19,,,,15,,,,,,,,,,,,,,,,,,,,,,
2015-06-20,,35,30,31,23,,23,18,14,,,24,,,,6,7,,7,,,10,6,7,,,,,,,,,6,,8,,,,,,,,,,,,,,,,,,,,,
2015-06-21,39,34,30,31,23,,23,19,14,,,24,,,,14,,,,,,,,,,57,29,25,19,19,,,,15,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,,35,30,32,23,,23,16,14,,,23,,,,6,11,,7,,,10,6,,7,,,,,,,,6,,8,,,,,,,,,,,,,,,,,,,,,
2015-06-23,,36,30,32,24,,25,15,14,7,7,23,,,,7,11,,7,,,10,,,7,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
2015-06-24,43,36,46,33,24,,26,16,,,,23,,,,14,,,,,,,,,,58,29,26,18,18,,14,,14,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,,37,46,33,24,,27,16,14,7,7,23,,,,6,11,,7,,,10,6,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,41,37,46,34,23,18,,19,,,,23,,,,15,,,,,,,,,,59,59,24,18,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-27,,37,46,34,23,15,,19,14,7,7,23,,,,6,11,,6,8,,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-28,,37,46,33,23,15,,19,14,7,7,22,,,,6,11,,6,8,,10,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,,37,46,33,21,,21,17,15,7,7,22,,,,6,11,,6,8,,9,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
