date,London,Cambridge,Edinburgh,Reading,Bristol,Twickenham,Gloucester,Southall,Guildford,Southampton,Leeds,Nottingham,Cardiff,Sheffield,"See More",Belfast,Oxford,"San Francisco Bay",Manchester,Swindon,Coventry,Slough,Redhill,Glasgow,"Kingston upon Thames",Portsmouth,"Milton Keynes","Newcastle upon Tyne",Stevenage,"Hemel Hempstead",Leicester,Birmingham,Watford,Exeter,Brighton
2015-04-02,539,112,26,45,22,9,,12,15,,10,,,11,9,12,24,,14,,,,,10,,,,,,,,,,,
2015-04-03,544,107,25,42,21,,,12,13,,11,,,9,9,12,23,,16,,,,,9,,,,,,,,,,9,
2015-04-04,547,110,23,41,21,10,,13,13,,11,,,,9,12,22,,16,,,,,9,,,,,,,,,,9,
2015-04-05,549,121,23,39,20,10,,14,15,,9,,,9,9,13,25,,11,,,,,,,,,,,,,,,9,
2015-04-06,549,128,22,38,21,10,,14,16,,11,,,9,9,13,25,,11,,,,,,,,,,,,,,,9,
2015-04-07,542,142,22,39,26,11,,14,17,,11,,,,9,13,25,,11,,,,9,,,,,,,,,,,9,
2015-04-08,551,154,22,41,27,14,,16,22,,11,,,,10,11,26,,11,,,,,,,,,,,,,10,,10,
2015-04-09,549,144,20,43,24,12,,16,21,,11,,,,10,10,25,,,,,,10,,,,,,,,,10,,10,
2015-04-10,553,153,22,40,23,11,,16,19,,11,,,,10,10,25,,,,,,10,,,,,,,,,10,,10,
2015-04-11,549,148,25,41,20,13,,16,20,,11,,,,9,10,26,,,,,,10,,,,,,,,,9,,10,
2015-04-12,544,149,25,41,19,13,,16,20,,10,,,,9,10,26,,,,,,10,,,,,,,,,9,,10,
2015-04-13,542,146,23,42,19,14,,16,20,,10,,,,9,10,27,,,,,,10,,,,,,,,,9,,10,
2015-04-14,542,158,24,42,24,16,,20,18,,,11,,,10,12,19,,,,10,,13,,,,,,,,,11,,,
2015-04-15,550,166,23,41,26,14,,20,16,,,11,,,11,13,21,,,,11,,14,,,,,,,,,11,,,
2015-04-16,552,165,23,41,23,15,,22,15,,,,11,,11,15,24,,,,12,,12,,,,,,,,,12,,,
2015-04-17,589,167,27,45,26,17,,22,17,,,12,,,12,16,27,,,,12,,13,,,,,,,,,13,,,
2015-04-18,748,202,34,68,25,,16,23,27,,23,,,,15,16,51,,,,,,,16,,,,,,,,17,,,15
2015-04-19,845,212,34,75,34,,21,23,32,,27,17,,,17,19,69,,,,,,,17,,,,,,,,18,,,
2015-04-20,850,211,35,76,33,16,21,24,34,,24,,,,16,20,62,,16,,,,,,,,,,,,,17,,,
2015-04-21,556,157,23,49,17,16,,18,16,,,,9,,9,17,20,,10,,,,,10,,,,,,,,12,,,
2015-04-22,566,158,21,45,17,15,,17,17,,,,10,,9,17,20,,10,,9,,,,,,,,,,,12,,,
2015-04-23,564,155,21,46,17,14,,17,17,,,,11,,10,15,20,,10,,,,,,,,,,,,,12,,10,
2015-04-24,576,153,22,43,15,14,,17,14,,,,12,,10,17,19,,10,,,,,,,,,,,,,12,,10,
2015-04-25,569,153,21,38,14,15,,17,15,,,,12,,10,17,18,,11,,,,,,,,,,,,,12,,10,
2015-04-26,566,152,23,37,15,16,,17,14,,,,11,,10,17,18,,11,,,,,,,,,,,,,12,,10,
2015-04-27,567,150,23,39,15,16,11,17,15,,,,10,,10,17,17,,11,,,,,,,,,,,,,12,,,
2015-04-28,572,152,22,39,15,16,10,17,15,,,,11,,10,19,18,,11,,,,,,,,,,,,,12,,,
2015-04-29,570,155,25,40,15,16,10,18,12,,,,11,,10,21,18,,10,,,,,,,,,,,,,12,,,
2015-04-30,592,156,27,37,16,16,11,17,14,,11,,11,,11,21,20,,,,,,,,,,,,,,,12,,,
2015-05-01,592,159,26,38,17,15,,17,15,,11,,11,,11,21,22,,11,,,,,,,,,,,,,13,,,
2015-05-02,584,165,28,36,18,15,,17,13,,14,,11,,11,20,21,,12,,,,,,,,,,,,,13,,,
2015-05-03,578,157,27,36,17,17,,16,15,,11,,11,,11,20,20,,,,,,,,11,,,,,,,13,,,
2015-05-04,578,168,31,34,17,16,,16,15,,,,11,,11,23,21,,11,,,,,,11,,,,,,,12,,,
2015-05-05,578,169,34,34,16,15,,17,14,,,,11,,11,22,22,,,,,,13,,11,,,,,,,11,,,
2015-05-06,597,164,36,35,15,14,,19,13,,12,,11,,11,21,21,,,,,,13,,,,,,,,,11,,,
2015-05-07,604,165,36,40,16,14,,19,13,,14,,,,11,22,23,,12,,,,13,,,,,,,,,11,,,
2015-05-08,586,163,33,46,15,14,,17,11,,13,,12,,11,22,22,,12,,,,11,,,,,,,,,,,,
2015-05-09,590,165,33,45,15,13,,17,11,,13,,12,,11,23,22,,13,,,,12,,,,,,,,,,,,
2015-05-10,587,189,32,47,14,13,,17,14,,19,,12,,12,24,21,,13,,,,13,,,,,,,,,,,,
2015-05-11,602,213,31,49,18,13,,21,19,,20,,11,,11,26,20,,13,,,,14,,,,,,,,,,,,
2015-05-12,622,217,32,51,26,13,,19,17,,18,,12,,12,24,20,,15,,,,15,,,,,,,,,,,,
2015-05-13,628,219,34,52,28,13,,19,16,,18,,,13,13,25,17,,14,,,,17,,,,,,,,,,,,
2015-05-14,617,215,36,52,26,16,13,19,19,,18,,,,13,24,17,,,,,,21,,18,,,,,,,,,,
2015-05-15,609,217,34,52,24,18,,20,18,,20,,,,15,28,17,,15,,,,20,,16,,,,,,,,,,
2015-05-16,623,245,34,55,26,21,,21,21,,17,,,,15,37,17,,15,,,,18,,16,,,,,,,,,,
2015-05-17,615,248,36,54,26,22,,21,21,,16,,,,15,35,18,,15,,,,18,,16,,,,,,,,,,
2015-05-18,617,251,36,58,30,22,15,21,21,,,,,,15,37,19,,17,,,,19,,15,,,,,,,,,,
2015-05-19,636,266,38,53,28,24,22,21,21,,16,,,,16,37,20,,18,,,,22,,,,,,,,,,,,
2015-05-20,648,237,36,49,32,,21,18,19,,17,,15,,15,33,21,,17,,,,15,,,,,,,,,,,,
2015-05-21,628,221,35,46,31,,20,18,14,,16,,17,,14,32,16,,15,,,,14,,,,,,,,,,,,
2015-05-22,644,231,38,49,30,,25,19,15,,17,,17,,14,33,17,,16,,,,14,,,,,,,,,,,,
2015-05-23,632,233,39,47,29,15,24,19,15,,15,,16,,14,35,14,,16,,,,,,,,,,,,,,,,
2015-05-24,627,225,38,44,31,,26,19,15,,17,,16,,14,33,15,,15,,,,14,,,,,,,,,,,,
2015-05-25,626,211,37,44,31,,26,19,15,,17,,16,,13,34,15,,15,,,,13,,,,,,,,,,,,
2015-05-26,629,201,38,44,30,,21,19,16,,17,,15,,13,35,14,,15,,,,13,,,,,,,,,,,,
2015-05-27,629,185,40,42,29,14,22,18,15,,18,,14,,14,36,14,,15,,,,,,,,,,,,,,,,
2015-05-27,625,185,41,42,28,13,20,18,14,,19,,13,,13,34,15,,15,,,,,,,,,,,,,,,,
2015-05-28,607,184,41,43,29,,20,18,17,,20,,13,,13,33,14,,14,,,,13,,,,,,,,,,,,
2015-05-29,613,198,42,42,32,,20,18,17,,19,,13,,13,32,15,,14,,,,,,,,,13,,,,,,,
2015-05-30,603,197,42,35,30,15,14,18,20,,,,15,,14,34,15,,,,,,16,,15,,,,,,,,,,
2015-05-31,605,193,42,35,31,15,15,18,20,,14,,15,,14,33,15,,,,,,,,15,,,,,,,,,,
2015-06-01,597,187,41,37,28,15,15,17,20,,16,,14,,14,36,,,,,,,14,,16,,,,,,,,,,
2015-06-02,609,171,41,41,32,16,15,17,17,,16,,13,,13,32,,,,,,,13,,16,,,,,,,,,,
2015-06-03,627,174,40,39,32,18,15,18,17,,15,,13,,13,31,,,,,,,,,17,,,13,,,,,,,
2015-06-04,628,194,41,38,32,18,16,17,19,,,,13,,13,35,13,,,,,,17,,17,,,,,,,,,,
2015-06-05,631,186,39,41,34,19,18,,20,,,11,,,11,34,12,,,,,,15,,,,,13,,,,,12,,
2015-06-06,630,196,39,41,34,19,19,18,20,,,,13,,13,35,,,,,,,16,,15,,,16,,,,,,,
2015-06-07,619,163,39,41,30,18,18,18,16,,,,,,12,36,13,,,,,,14,,12,,,16,,,,,,,
2015-06-08,632,152,40,40,28,17,15,17,16,,,,10,,10,31,13,,,,,,13,,,,,16,,,,,,,
2015-06-09,645,139,42,39,31,14,12,,15,,,10,,,10,31,,,,,,10,11,,,,,12,,,,,,,
2015-06-10,649,145,42,39,31,15,12,,15,,,10,11,,9,,,,,,,10,9,,,,,11,,,,,,,
2015-06-11,642,158,40,36,29,15,14,16,16,,13,,11,,11,31,,,,,,,,11,,,,15,,,,,,,
2015-06-12,662,159,40,39,25,16,12,17,16,,12,,10,,10,34,,,,,,,,11,,,,15,,,,,,,
2015-06-13,661,150,41,39,25,,12,,16,,,9,,,7,35,,,,,,,9,11,,,,11,,,,,,7,
2015-06-14,654,148,42,36,26,,12,,16,,,9,,,7,33,,,,,,,9,11,,,,11,,,,,,7,
2015-06-15,657,147,41,36,27,,12,,16,,,9,,,8,33,,,,,,,10,,,,,11,,,,,,8,
2015-06-16,657,152,44,36,29,15,,,14,,,9,,9,9,34,,,11,,,,,,,,,13,,,,,,,
2015-06-17,658,150,47,36,25,17,12,,13,,,9,,9,9,,,,10,,,,,,,,,12,,,,,10,,
2015-06-18,643,153,44,36,26,16,12,,12,,,9,,9,7,,,,,,,,9,,,,,12,,,,7,,,
2015-06-19,616,153,44,34,24,16,10,14,13,,,,,,10,27,11,,,,,,,10,15,,,17,,,,,,,
2015-06-20,609,148,43,33,24,15,,,14,,10,,,,10,29,11,,,,,,,10,11,,,17,,,10,,,,
2015-06-21,624,154,40,35,26,16,,,15,,,11,,10,6,29,,,,,,,8,,,,,11,,,,6,,,
2015-06-22,584,110,42,36,17,15,,,15,,11,11,,,10,29,12,,,,,,,10,,,,15,,,10,,,,
2015-06-23,584,128,42,37,17,14,,,14,,11,11,,10,10,27,13,,,,,,,,10,,,10,,,,,,,
2015-06-24,628,160,39,44,24,,,16,14,,,10,,9,7,,,,,,,,8,,,10,,,7,,,,,,
2015-06-25,595,137,41,36,20,19,,,12,,11,10,,,10,27,15,,,,,,,10,,11,,11,,,,,,,
2015-06-26,610,134,43,41,23,,,,12,,,12,,,5,,14,,,,,9,,9,,10,,,8,5,,,,,
2015-06-27,644,146,50,41,29,18,11,,11,,,12,,,11,26,17,,11,,,,,,,12,,12,,,,,,,
2015-06-28,649,176,48,49,32,18,12,,11,,11,15,,,11,31,15,,,,,,,,,12,,14,,,,,,,
2015-06-29,634,179,49,50,33,,,,11,11,,16,,,10,31,15,,,,,10,,11,,11,,,,,,,,,
2015-06-30,680,187,48,55,36,,,,13,11,,17,,,5,34,17,,,,5,12,,11,,11,,,,,,,,,
2015-07-01,751,193,51,62,35,,,,14,14,,17,,,7,37,,,,,7,12,,10,,9,,,,,,,,,
2015-07-02,774,194,53,65,32,,,,18,,,17,,,7,39,,,13,,7,,12,11,16,,9,,,,,,,,
2015-07-03,705,193,57,53,34,,,,16,,,13,,,7,38,,,13,,7,12,,13,,11,9,,,,,,,,
2015-07-04,703,193,56,50,31,,,,16,,,13,,,7,38,,,13,,7,12,,12,,11,8,,,,,,,,
2015-07-05,708,194,56,52,31,,,,16,,,14,,,7,37,,,,,7,12,,14,14,11,8,,,,,,,,
2015-07-07,710,191,56,54,28,17,,18,20,,,11,,11,5,35,,,,,5,,,14,15,,,,,,,,,,
2015-07-08,722,206,58,56,28,18,,16,21,,,11,,11,11,32,,,,,,14,14,15,,,,,,,,,,,
2015-07-09,702,204,,56,29,16,,16,18,,,13,,10,10,31,,,16,,,11,12,15,,,,,,,,,,,
2015-07-10,700,201,,56,29,15,,16,18,,,13,,10,10,31,,,16,,,11,11,,,,,,,,,,,,
2015-07-11,709,198,65,56,31,21,,17,20,,,13,,,11,30,,,16,,,11,,,,,,,,,,,,,
2015-07-12,713,194,64,56,31,20,,17,20,,,18,,,11,30,,,16,,,11,,,,,,,,,,,,,
2015-07-13,729,194,70,58,31,20,,18,20,,,12,11,,11,32,,,16,,,11,,,,,,,,,,,,,
2015-07-14,737,196,71,57,29,20,,17,20,,,12,11,,11,31,,,16,,,,,,,,,,,,,,,,
2015-07-15,731,209,71,59,32,21,,17,19,,,13,,,5,31,,,16,,5,,,,,,,,,,,,,,
2015-07-16,734,208,70,55,32,21,,17,19,,,9,,,5,31,,5,15,,5,,,,,,,,,,,,,,
2015-07-17,749,207,69,56,31,21,,18,19,,,9,,,6,28,,6,15,6,,,,,,,,,,,,,,,
2015-07-18,750,207,69,56,32,21,,18,20,,,9,,,6,27,,6,15,6,,,,,,,,,,,,,,,
2015-07-19,731,209,70,57,33,21,,18,20,,,9,,,6,28,,6,15,6,,,,,,,,,,,,,,,
2015-07-20,746,209,70,60,33,21,,18,18,19,,9,,,7,28,20,7,,,,,,,,,,,,,,,,,
2015-07-21,741,206,69,59,34,19,,18,18,19,,10,,,7,29,22,7,,,,,,,,,,,,,,,,,
2015-07-22,726,202,69,58,33,19,,21,19,19,15,11,10,10,10,28,,,,,,,,,,,,,,,,,,,
2015-07-23,779,198,69,54,33,20,19,19,18,18,12,11,10,10,10,,,,,,,,,,,,,,,,,,,,
