date,Atos,"Sopra Steria","Dassault Systèmes",Microsoft,Talend,Econocom-Osiatis,Teradata,Micropole,"Orange Business Services",Splunk,"OCTO Technology",Orange,Ysance,"Adobe France","See More",Cisco,"Schneider Electric","Société Générale",Capgemini,IBM,Deloitte,GfK,Criteo,Oracle,EXPERTIME,Thales,"DDN Storage",Cloudera,"Allianz Group","Confidential Company - Undisclosed"
2015-07-05,303,49,18,13,10,9,8,9,7,9,,7,5,6,5,6,,,,,,,,,,,,,,
2015-07-06,305,49,17,13,10,9,8,9,8,9,,7,5,6,5,7,,,,,,,,,,,,,,
2015-07-07,305,50,17,14,10,9,8,9,8,9,5,7,6,7,5,6,,,,,,,,,,,,,,
2015-07-08,303,56,18,14,10,10,8,9,8,,5,7,6,7,5,,,,,,,,,,,,,,,
2015-07-09,303,48,18,14,10,9,8,8,7,,5,6,8,8,5,,,,,,,,,,,,,,,
2015-07-10,296,49,18,14,10,9,9,8,8,8,5,6,8,8,5,,,,,,,,,,,,,,,
2015-07-11,301,56,18,14,10,9,8,8,6,,5,6,8,8,5,,,,,,,,,,,,,,,
2015-07-12,301,56,18,14,10,8,8,8,6,,5,6,8,8,5,,,,,,,,,,,,,,,
2015-07-13,301,56,18,14,10,8,9,8,6,,,6,8,8,6,6,,,,,,,,,,,,,,
2015-07-14,300,56,18,14,10,8,9,8,6,,,6,8,8,6,6,,,,,,,,,,,,,,
2015-07-15,302,56,18,14,10,6,9,8,6,,,6,7,8,6,6,,,,,,,,,,,,,,
2015-07-16,302,56,15,14,11,12,9,9,6,,,6,7,7,6,6,,,,,,,,,,,,,,
2015-07-17,310,59,15,14,11,10,9,9,6,,,5,5,9,5,6,,,,,,,,,,,,,,
2015-07-18,309,59,15,14,11,10,9,9,6,,,5,5,9,5,6,,,,,,,,,,,,,,
2015-07-19,308,59,15,14,11,10,9,9,6,,,5,5,9,5,6,,,,,,,,,,,,,,
2015-07-20,310,61,15,14,11,10,9,9,7,,6,5,5,9,5,,,,,,,,,,,,,,,
2015-07-21,310,59,15,14,11,10,9,9,7,,6,5,5,9,5,,,,,,,,,,,,,,,
2015-07-22,307,59,15,13,11,10,9,9,7,7,6,5,5,5,5,,,,,,,,,,,,,,,
