date,London,Birmingham,Manchester,Slough,Cambridge,Reading,Bristol,Twickenham,Swindon,Edinburgh,Coventry,Nottingham,Luton,"Newcastle upon Tyne","See More",Northampton,Glasgow,Oxford,Guildford,Southall,Tonbridge,"Southend on Sea",Liverpool,Redhill,"Kingston upon Thames","Milton Keynes",Ipswich,Brighton,"Hemel Hempstead","St Albans",Southampton,Warrington,Sheffield,Preston,Portsmouth,Leeds,Chelmsford
2015-04-14,452,,47,34,30,37,25,23,,25,,18,,,16,,16,19,32,21,,,,,,,,16,,,,,,,,,
2015-04-15,451,,43,35,31,39,26,18,,22,,19,,,16,,,20,34,21,,,,18,,,,16,,,,,,,,,
2015-04-16,449,,40,37,32,30,26,18,,25,,20,,,16,,16,,32,21,,,,17,,,,18,,,,,,,,,
2015-04-17,457,,32,38,30,35,26,18,,19,,21,,,17,,,,34,20,,,,18,,,,18,,,,,,,,17,
2015-04-18,569,22,53,42,33,55,34,,,30,23,23,,,22,,,,37,,,,,26,,,,,,,,,,,,24,26
2015-04-19,655,29,54,45,36,63,40,,,32,32,25,,,25,,,,42,,,,,31,,,,,,,,,,,,33,27
2015-04-20,657,29,57,45,37,64,40,,,31,31,,,,25,,,,45,,,,,28,,,,,25,,,,,,,34,28
2015-04-21,456,,32,34,29,30,25,17,14,13,,21,,,13,,,,29,20,,,,,,,,18,,,,,,,14,,
2015-04-22,453,14,32,36,29,31,26,19,,13,,21,,,13,,,,29,19,,,,,,,,16,,,,,,,14,,
2015-04-23,448,14,33,36,30,30,27,21,,14,,20,,,14,,14,,31,20,,,,,,,,16,,,,,,,,,
2015-04-24,451,16,33,36,31,28,28,22,,16,,23,,,15,,,,30,21,,,,,15,,,15,,,,,,,,,
2015-04-25,448,16,33,34,31,36,28,20,,15,,24,,,14,,,,28,20,,,,,14,,,15,,,,,,,,,
2015-04-26,444,16,33,35,29,40,29,21,,15,,23,,,14,,,,27,21,,,,,14,,,15,,,,,,,,,
2015-04-27,440,16,29,35,31,40,29,20,,16,,24,,,15,,,,28,21,,,,,,16,,15,,,,,,,,,
2015-04-28,454,16,30,35,32,37,31,18,,19,,24,,,16,,,,28,20,,,,,,16,,16,,,,,,,,,
2015-04-29,464,16,31,33,33,32,30,19,,20,,23,,,16,,,,29,20,,,,,,17,,16,,,,,,,,,
2015-04-30,466,17,35,33,32,29,28,20,,20,,24,,,16,,,,28,18,,,,,,18,,16,,,,,,,,,
2015-05-01,455,18,26,32,30,30,30,22,,18,,23,,,16,,,,28,18,,,,,,17,,16,,,,,,,,,
2015-05-02,461,19,36,31,29,28,30,21,,18,,23,,,17,,17,,28,18,,,,,,17,,,,,,,,,,,
2015-05-03,448,18,36,32,26,28,27,22,,18,,19,,,16,,17,,28,18,,,,,,,,16,,,,,,,,,
2015-05-04,458,19,34,32,25,28,27,21,,19,,17,,,17,,19,,26,19,,,,,,,,,,,,,,18,,,
2015-05-05,464,19,33,32,23,26,25,23,,18,,,,,16,,16,,26,20,,,,,,,,16,,,,,,16,,,
2015-05-06,466,18,31,31,24,29,26,22,,21,,,,,16,,,,26,19,,,,16,,16,,17,,,,,,,,,
2015-05-07,461,16,35,31,24,28,28,21,,26,,,,,16,,,,23,17,,,,23,,16,,16,,,,,,,,,
2015-05-08,454,17,36,31,21,32,27,21,,24,,,,,15,,,,23,16,,,,17,,15,,17,,,,,,,,,
2015-05-09,460,16,40,33,27,37,28,22,,23,,17,,,16,,,,26,16,,,,20,,,,17,,,,,,,,,
2015-05-10,459,,39,33,24,36,26,22,,24,,17,,,16,,,,26,16,,,,19,,16,,17,,,,,,,,,
2015-05-11,458,,43,35,23,40,26,22,,23,,21,,,16,,16,,26,16,,,,19,,,,16,,,,,,,,,
2015-05-12,494,,46,36,24,44,27,22,,23,,19,,,16,,17,,25,16,,,,23,,17,,,,,,,,,,,
2015-05-13,492,20,47,38,24,44,30,22,,21,,16,,,16,,20,,27,,,,,25,,18,,,,,,,,,,,
2015-05-14,483,17,47,34,20,45,30,24,,21,,17,,,17,,21,,32,,,,,20,,19,,,,,,,,,,,
2015-05-15,470,17,44,32,21,48,30,23,,18,,,,,17,,24,,31,,,,17,21,,21,,,,,,,,,,,
2015-05-16,477,19,42,34,21,44,29,23,,18,,,,,18,,22,,31,,,,18,20,,21,,,,,,,,,,,
2015-05-17,474,18,43,33,19,42,30,24,,,,17,,,17,,22,,33,,,,19,23,,22,,,,,,,,,,,
2015-05-18,464,17,41,33,19,47,27,23,,,,,,,17,,20,,32,,,,19,24,,23,,,,,,,18,,,,
2015-05-19,480,,36,32,19,45,29,23,,,,22,,,18,,18,18,33,,,,,24,,24,,,,,,,19,,,,
2015-05-20,501,20,37,34,21,45,32,23,,,,23,,,17,,,17,25,18,,,,19,,21,,,,,,,,,,,
2015-05-21,480,18,33,33,22,43,31,24,,17,,24,,,17,,,,26,18,,,17,,,22,,,,,,,,,,,
2015-05-22,482,19,33,32,23,45,31,22,,,,22,,,18,,18,,25,18,,,,19,,22,,,,,,,,,,,
2015-05-23,475,,30,33,23,41,31,23,,17,,22,,,17,,17,,25,18,,,,20,,26,,,,,,,,,,,
2015-05-24,478,,32,33,23,39,32,21,,20,,20,,,18,,18,,25,18,,,,22,,20,,,,,,,,,,,
2015-05-25,471,17,33,33,23,40,32,21,,21,,17,,,17,,18,,25,,,,,22,,19,,,,,,,,,,,
2015-05-26,457,18,33,34,21,39,29,22,,20,,19,,,18,,20,,24,,,,,26,,19,,,,,,,,,,,
2015-05-27,464,19,34,33,21,42,29,22,,21,,19,,,19,,20,,24,,,,,26,,20,,,,,,,,,,,
2015-05-27,464,22,35,34,22,43,29,22,,20,,19,,,19,,19,,24,,,,,24,,20,,,,,,,,,,,
2015-05-28,452,20,34,31,21,44,30,,,,,20,,,17,,17,,26,19,,,17,24,,22,,,,,,,,,,,
2015-05-29,455,20,34,30,18,42,31,,,17,,16,,,16,,16,,26,,,,18,25,,22,,,,,,,,,,,
2015-05-30,416,25,32,27,20,35,22,16,,,,16,,,16,,,,24,16,,,17,18,,19,,,,,,,,,,,
2015-05-31,416,23,32,27,20,36,21,16,,15,,,,,15,,,,24,16,,,16,18,,19,,,,,,,,,,,
2015-06-01,416,,32,28,21,36,,,,16,,17,,,7,,13,,25,15,,,,,,18,,11,,7,,7,,,,,
2015-06-02,449,22,29,30,20,36,23,17,,15,,16,,,15,,,,24,,,,16,18,,20,,,,,,,,,,,
2015-06-03,459,22,31,30,20,39,23,,,17,,17,,,17,,,,24,17,,,19,21,,19,,,,,,,,,,,
2015-06-04,475,21,34,33,21,39,20,18,,18,,19,,,18,,,,23,,,,19,22,,20,,,,,,,,,,,
2015-06-05,473,23,36,32,21,39,21,18,,17,,17,,,17,,,,24,,,,19,20,,19,,,,,,,,,,,
2015-06-06,461,,35,29,20,42,,17,,15,16,16,,,8,,13,,23,16,,,,,8,,,12,,,,,,,,,
2015-06-07,465,29,34,29,20,41,19,16,,,16,15,,,15,,,15,22,16,,,19,,,,,,,,,,,,,,
2015-06-08,457,28,27,28,19,43,14,16,,,16,15,,,14,,,15,24,16,,,18,,,,,,,,,,,,,,
2015-06-09,465,33,31,31,20,44,,15,,17,15,13,,,8,,,,25,16,,,,,,,,13,,,8,,,,,,
2015-06-10,478,35,30,29,18,45,15,,,14,16,,,,13,,,,25,18,,,17,,,,,13,13,,,,,,,,
2015-06-11,480,41,31,32,18,44,15,17,,15,16,,,,14,,,,25,17,,,16,,,,,,14,,,,,,,,
2015-06-12,480,43,35,33,19,44,,,,16,16,11,10,,8,,,,24,14,,,,,,,,13,,8,,,,,,,
2015-06-13,487,38,31,34,17,44,13,17,,15,15,,,,13,,,,23,16,,,17,,,,,,13,,,,,,,,
2015-06-14,486,35,30,33,17,43,13,17,,15,14,,,,13,,,,23,16,,,14,,,,,,13,,,,,,,,
2015-06-15,486,34,29,33,17,47,14,15,,15,13,,,,13,,14,,23,16,,,17,,,,,,,,,,,,,,
2015-06-16,490,35,32,32,18,49,16,16,,15,14,,,,13,,,,22,17,,,17,,,,,,13,,,,,,,,
2015-06-17,478,27,35,31,18,46,15,16,,16,13,14,,,13,,,,22,14,,,17,,,,,,,,,,,,,,
2015-06-18,470,26,28,27,20,41,16,15,,13,13,14,15,,13,,,,22,14,,,,,,,,,,,,,,,,,
2015-06-19,466,,31,29,,40,,15,,13,11,14,15,,9,,12,,19,,,,16,,,,,9,,,,,,,,,
2015-06-20,473,24,27,23,15,40,13,15,,13,,17,16,,13,,,13,19,,,,17,,,,,,,,,,,,,,
2015-06-21,472,25,27,23,13,38,,15,,,12,16,16,,12,,13,,19,,,,17,,,,,12,,,,,,,,,
2015-06-22,465,,28,26,,38,14,,,15,13,,16,,11,,14,,17,,,,15,,,,,11,,,,,,,,,
2015-06-23,478,,31,26,,38,15,16,,16,,,16,,11,,15,,16,,,,,,,,,11,,,,,,,,,
2015-06-24,486,,34,25,,37,18,14,9,15,13,,16,,5,,14,,17,,,,,,,,5,,,,,,,,,,
2015-06-25,471,,29,24,19,33,15,17,8,,13,,16,,5,,14,,,9,,,,,,10,5,,,,,,,,,,
2015-06-26,475,25,30,28,18,35,18,21,,,14,19,16,,13,,13,,,,,,16,13,,,,,,,,,,,,,
2015-06-27,494,32,,29,23,35,18,22,8,,16,,15,,7,,13,,,8,,,,,9,7,,,,,,,,,,,
2015-06-28,492,33,39,29,25,35,21,21,,14,18,18,15,,14,,,,,,,,15,16,,,,,,,,,,,,,
2015-06-29,498,33,43,28,27,34,21,21,,15,19,18,15,,15,,17,,,,,,16,,,,,,,,,,,,,,
2015-06-30,527,32,46,31,29,39,22,20,,14,17,18,15,,14,,19,,,,,,16,,,,,,,,,,,,,,
2015-07-01,544,34,45,30,29,39,17,20,8,20,17,19,16,,8,,16,,,,,,,,,,,,,,,,,,,,
2015-07-02,560,40,45,29,30,41,15,21,,24,19,20,17,,6,,20,,,,6,,,,,,,,,,,,,,,,
2015-07-03,525,37,36,32,26,45,22,20,,26,20,14,15,,6,,18,,,,6,,,,,,,,,,,,,,,,
2015-07-04,523,38,35,32,28,42,21,19,,26,19,14,14,,7,,18,,,,7,,,,,,,,,,,,,,,,
2015-07-05,530,47,32,31,31,45,22,18,,26,19,17,14,,8,,19,,,,8,,,,,,,,,,,,,,,,
2015-07-07,521,50,31,35,33,47,22,20,,26,,,14,,8,,23,,17,,8,,,,,,,,,,,,,,,,
2015-07-08,537,52,36,36,31,42,25,21,,24,21,,14,,5,,23,,19,,,5,,,,,,,,,,,,,,,
2015-07-09,529,49,33,34,30,42,21,,,27,22,18,16,,8,,23,,18,,8,,,,,,,,,,,,,,,,
2015-07-10,522,54,30,35,29,43,21,,,27,20,18,17,,6,,21,,18,,6,,,,,,,,,,,,,,,,
2015-07-11,521,53,30,35,33,37,22,,,26,21,21,17,,11,,24,,18,11,,,,,,,,,,,,,,,,,
2015-07-12,525,53,30,35,34,36,23,,,26,21,19,17,,11,,25,,18,11,,,,,,,,,,,,,,,,,
2015-07-13,537,54,27,36,32,36,24,20,,22,21,19,16,,16,,26,,20,,,,,,,,,,,,,,,,,,
2015-07-14,552,54,28,34,31,36,22,20,,22,22,17,16,,16,,26,,20,,,,,,,,,,,,,,,,,,
2015-07-15,554,50,30,32,29,33,29,20,,,22,18,13,,13,,24,15,20,,,,,,,,,,,,,,,,,,
2015-07-16,555,49,31,32,31,32,29,23,,20,23,18,11,,11,,23,,20,,,,,,,,,,,,,,,,,,
2015-07-17,555,45,30,31,32,37,28,26,,22,22,15,11,,11,,21,,20,,,,,,,,,,,,,,,,,,
2015-07-18,551,46,32,31,33,37,28,28,,21,22,15,12,,12,,21,,19,,,,,,,,,,,,,,,,,,
2015-07-19,564,45,35,31,32,37,27,28,,22,20,15,12,,12,,20,,19,,,,,,,,,,,,,,,,,,
2015-07-20,572,42,38,32,32,35,26,27,,,20,15,14,,14,,19,14,19,,,,,,,,,,,,,,,,,,
2015-07-21,566,42,37,,34,35,30,22,18,19,19,16,14,,14,,19,15,,,,,,,,,,,,,,,,,,,
2015-07-22,551,38,31,33,34,34,31,24,18,19,19,19,14,,8,8,,,,,,,,,,,,,,,,,,,,,
2015-07-23,575,39,35,35,34,33,30,24,22,21,18,18,15,11,11,,,,,,,,,,,,,,,,,,,,,,
