date,ARM,Sky,Hays,Google,Alcatel-Lucent,Dell,Sainsbury&#39;s,"Bloomberg LP",Microsoft,Facebook,"Morgan Stanley","Rackspace, the #1 managed cloud company","JPMorgan Chase &amp; Co.","Digital Gurus | Digital Recruitment - London, Sydney, Dubai","BAE Systems Applied Intelligence","See More",BBC,Cognizant,"Dell SecureWorks","Yoh, A Day &amp; Zimmermann Company","Admiral Group plc","Full Circle Recruitment Ltd",Sophos,"Goldman Sachs",Xcede,"ServiceNow – The Enterprise Cloud Company","TechNET IT Recruitment Ltd",IntaPeople,"IC Resources","Confidential Company - Undisclosed",Amazon,"NJF Global Holdings Ltd","Amazon UK",Framestore,"Huxley Banking &amp; Financial Services","Bank of America","Expedia, Inc.",Oracle,Turnitin,Thales,"Opus Recruitment Solutions","Softweb LLC",Symantec,"Experis IT","Go IT Recruitment Limited",CGI,"Pro-Quest Resourcing Ltd","microTECH global","Edgar Cowen","Pro Quest",Cisco,Citi,mployability,"Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV",Adzuna,TipTopJob,"Job Heaven","Credit Suisse",MOO,Incite,"techfolk Ltd","Skyscape Cloud Services",Markit,Deloitte,"Opus Resourcing Ltd"
2015-03-28,55,21,9,29,,14,,14,,,,,51,,,9,,,,,,,,,,,,,,,13,,16,13,,14,,,,,,,,,,9,,,,,,,,,,,,,,,,9,17,10,,,
2015-03-29,55,21,9,29,,14,,14,,,,,51,,,9,,,,,,,,,,,,,,,13,,16,13,,15,,,,,,,,,,9,,,,,9,,,,,,,,,,,,17,10,,,
2015-03-30,54,22,10,29,,14,,15,,,,,51,,,9,,,,,,,,,,,,,,,15,,17,13,,15,,,,,,,,,,,,,,,9,,,,,,,,,,,9,17,10,,,
2015-03-31,62,21,10,27,,15,,15,,,,,50,,,9,,,,,,,,,,,,,,,11,,16,13,,15,,,,,,,,,,10,,,,,9,,,,,,,,,,,,17,10,,,
2015-04-01,59,20,9,28,,14,9,15,,,,,,,,9,,,,,,,,,,,,,,,11,,16,13,,15,10,,,,,,,,,,,,,,,,,,,,,,,,,9,17,10,,,
2015-04-02,54,19,,29,,13,,16,,,,,,,,8,,,,,,,,,,,,,,,10,,14,13,,14,,,,,,,,8,,,,,,,10,,,,,,,,,,8,,18,10,8,,
2015-04-03,53,20,,32,,13,,15,8,,,8,,,,6,,,,,,,,,,,,,,,,,14,13,,16,11,,,,,,,6,,,,,,,9,,,,,,,,,,8,,16,,,,
2015-04-04,53,20,,32,,13,,15,8,,,9,,,,8,,,,,,,,,,,,,,,,,14,13,,15,11,,,,,,,9,,,,,,,11,,,,,,,,,,8,,16,,,,
2015-04-05,58,20,10,32,,13,9,15,,,,9,,,,9,,,,,,,,,,,,,,,9,,15,13,,15,11,,,,,,,10,,,,,,,10,,,,,,,,,,,,,,,,
2015-04-06,58,21,10,32,,13,9,15,,,,9,,,,9,,,,,,,,,,,,,,,14,,15,13,,15,11,,,,,,,10,,,,,,,11,,,,,,,,,,,,,,,,
2015-04-07,59,21,9,32,,13,,15,,,,,,,,9,,,,,,,,,,,,,,,15,,15,13,,15,11,,,,,,,10,,,,,10,,11,,,,,,,,,,,11,,,,,
2015-04-08,63,22,,32,,12,9,15,,,,9,,,,9,,,,,,,,,,,,,,,12,,15,13,,14,11,,,,,,,10,,,,,14,,12,,,,,,,,,,,,,,,,
2015-04-09,61,22,,31,,12,,15,,,,,,,,9,,,,,,,,,,,,,,,9,,15,13,,15,11,,,,,,,11,,10,,,11,,11,,,,,,,,,,10,,,,,,
2015-04-10,58,21,,30,,12,9,15,,,,,,,,9,,,,,,,,,,,,,,,14,,16,13,,15,10,,,,,,,11,,10,,,11,,11,,,,,,,,,,,,,,,,
2015-04-11,58,21,,30,,13,9,15,,,,9,,,,9,,,,,,,,,,,,,,,15,,15,13,,14,10,,,,,,,10,,10,,,,,12,,,,,,,,,,,,,,,,
2015-04-12,58,21,,30,,13,9,15,,,,9,,,,9,,,,,,,,,,,,,,,15,,15,13,,14,10,,,,,,,10,,10,,,,,12,,,,,,,,,,,,,,,,
2015-04-13,58,22,,30,,13,9,15,,,,,,,,9,,,,,,,,,,,,,,,11,,15,13,,14,10,,,,,,,10,,10,,,,,13,,,,,,,,,9,,,,,,,
2015-04-14,60,24,,31,,12,,15,,,,13,,,,10,,,,,,,,,,,,,,,11,,13,13,,14,10,,,,,,,,,10,13,,,,14,,10,,,,,,,,,,,,,,
2015-04-15,65,24,,31,,12,,15,,,,13,,,,10,,,,,,,,,,,,,,,12,,14,13,,15,10,,,,,,,14,,10,13,,,,12,,,,,,,,,,,,,,,,
2015-04-16,67,23,,31,,12,,15,,,,15,,,,10,,,,,,,,,,,,,,,10,,12,13,,15,10,,,,,,,16,,10,12,,,,15,,,,,,,,,,,,,,,,
2015-04-17,67,22,,31,,12,,15,,,,15,,,,11,,,,,,,,,,,,,,,14,,12,13,,16,11,,,,,,,16,,,12,,,,18,,,,51,,,,,,,,,,,,
2015-04-18,66,19,,31,,12,,14,,,,15,,,,12,,,,,,,,,,,,,,,14,,,13,,16,,,,,,,,15,,,,,,,16,,,306,52,25,,12,,,,,,,,,
2015-04-19,66,19,,31,,,,14,,,,15,,,,12,,,,,,,,,,,,,,,14,,,13,,14,,,,,,,,15,,,,,,,17,,,500,52,37,20,,12,,,,,,,,
2015-04-20,65,23,,31,,,,14,,,,15,,,,12,,,,,,,,,,,,,,,,,,13,,16,,,,,,,,16,,,,,,,19,,,459,57,42,20,13,12,,,,,,,,
2015-04-21,63,20,,29,,10,9,14,,,,10,,,,9,,,,,,,,,,,,,,,11,,12,13,,12,,,,,,,,16,,10,,,,,20,,10,,,,,,,,,,,,,,
2015-04-22,62,19,,29,,10,,14,,,,10,,,,9,,,,,,,,,,,,,,,13,,13,13,,13,9,,,,,,,16,,11,,,,,18,,10,,,,,,,,,,,,,,
2015-04-23,62,20,,28,,11,10,15,,,,10,,,,10,,,,,,,,,,,,,,,13,,12,12,,16,,,,,,,,16,,11,,,,,16,,10,,,,,,,,,,,,,,
2015-04-24,61,23,,28,,11,10,15,,,,10,,,,10,,,,,,,,10,,,,,,,11,,11,13,,16,,,,,,,,17,,11,,,,,17,,,,,,,,,,,,,,,,
2015-04-25,61,23,,28,,11,10,15,,,,10,,,,10,,,,,,,,10,,,,,,,11,,13,13,,16,,,,,,,,18,,13,,,,,16,,,,,,,,,,,,,,,,
2015-04-26,61,23,,28,,13,10,15,,,,10,,,,10,,,,,,,,10,,,,,,,11,,13,13,,16,,,,,,,,19,,13,,,,,16,,,,,,,,,,,,,,,,
2015-04-27,61,24,,28,,14,10,16,,,,10,,,,10,,,,,,,,10,,,,,,,,,13,13,,16,,,,,,,,19,,13,,,,,15,,10,,,,,,,,,,,,,,
2015-04-28,61,24,,28,,13,10,14,,,,10,,,,10,,,,,,,,10,,,,,,,10,,12,13,,14,,,,,,,,19,,13,,,,,17,,,,,,,,,,,,,,,,
2015-04-29,61,26,,28,,14,10,16,,,,10,,,,10,,,,,,,,10,,,,,,,11,,12,13,,13,,,,,,,,16,,13,,,,,17,,,,,,,,,,,,,,,,
2015-04-30,61,27,,29,,13,10,13,,,,10,,,,10,,,,,,,,10,,,,,,,10,,14,13,,15,,,,,,,,16,,13,,,,,15,,,,,,,,,,,,,,,,
2015-05-01,62,28,,30,,13,,14,,,,10,,,,10,,,,,,,,,,,,,,,10,,13,13,,12,,,,,,,,16,,11,,,,,14,10,10,,,,,,,,,,,,,,
2015-05-02,62,28,,30,,15,,14,,,,10,,,,10,,,,,,,,,,,,,,,10,,14,13,,14,,,,,,,,17,,11,,,,,12,10,10,,,,,,,,,,,,,,
2015-05-03,62,27,,27,,15,,14,,,,10,,,,10,,,,,,,,,,,,,,,10,,14,13,,14,,,,,,,,19,10,11,,,,,12,10,,,,,,,,,,,,,,,
2015-05-04,62,26,,27,,16,,14,,,,10,,,,10,,,,,,,,,,,,,,,11,,14,13,,15,,,,,,,,20,10,11,12,,,,,10,,,,,,,,,,,,,,,
2015-05-05,62,26,,28,,16,,16,,,,10,,,,10,,,,,,,,,,,,,,10,10,,14,13,,13,,,,,,,,20,10,11,11,,,,,,,,,,,,,,,,,,,,
2015-05-06,60,26,,29,,17,,16,,,,12,,,,9,,,,,,,,9,,,,,,12,10,,14,12,,14,,,,,,,,20,,11,11,,,,,,,,,,,,,,,,,,,,
2015-05-07,60,24,,28,,16,,16,,,,12,10,,,10,,,,,,,,,,,,,,11,10,,13,13,,14,,,,,,,,20,,11,11,,,,,,,,,,,,,,,,,,,,
2015-05-08,61,20,,29,,15,,12,,,,12,13,,,9,,,,,,,,9,,,,,,,10,,14,14,,14,,,,,,,,,,10,11,,,,10,,,,,,,,,,,,,,,,
2015-05-09,62,20,,29,,15,,12,,,,12,13,,,10,,,,,,,,,,,,,,14,10,,15,14,,14,,,,,,,,,,11,11,,,,10,,,,,,,,,,,,,,,,
2015-05-10,62,20,,29,,15,,12,,,,12,13,,,11,,,,,,,,,,,,,41,11,,,14,14,,15,,,,,,,,,,11,11,,,11,,,,,,,,,,,,,,,,,
2015-05-11,62,26,,29,,15,,12,,,,12,11,,,11,,,,,,,,,,,,,82,11,,,14,14,,15,,,,,,,,,,11,11,,,11,,,,,,,,,,,,,,,,,
2015-05-12,60,25,,30,,15,,13,,,,,,,,11,,,,,,,,,,,,,84,,,,13,14,,14,,,,,,,,12,,11,14,11,12,11,,,,,,,,,,,,,,,,,
2015-05-13,60,25,,29,,14,,12,,,,,,,,11,,,,,,,,,,,,,86,,,,13,14,,13,,,,,,,,12,,11,14,11,14,11,,,,,,,,,,,,,,,,,
2015-05-14,61,27,11,29,,14,,12,,,,,,,,11,,,,,,,,,,,,,88,,,,12,14,,14,,,,,,,,12,,11,14,,17,11,,,,,,,,,,,,,,,,,
2015-05-15,60,27,,27,,14,,12,,,,11,,,,11,,,,,,,,,,,,,86,,,,13,14,,13,,,,,,,,13,11,,22,,17,11,,,,,,,,,,,,,,,,,
2015-05-16,59,29,,27,,14,,12,,,,11,,,,11,,,,,,,,,,,,,130,,,,13,15,,12,,,,,,,,14,11,,26,13,20,,,,,,,,,,,,,,,,,,
2015-05-17,60,29,,27,,14,,12,,,,,,,,11,,,,,,,,,,,,,145,,16,,13,15,,13,,,,,,,,14,,11,25,13,17,,,,,,,,,,,,,,,,,,
2015-05-18,61,31,13,27,,14,,13,,,,,,,,12,,,,,,,,,,,,,147,,16,,12,15,,13,,,,,,,,17,,,22,15,17,,,,,,,,,,,,,,,,,,
2015-05-19,59,28,15,27,,13,,15,,,,,,,,12,,,,,,,,,,,,,144,,16,,,14,,13,,,,,,18,,17,,,23,18,12,,,,,,,,,,,,,,,,,,
2015-05-20,60,28,14,27,,13,,15,,,,,,,13,11,,,,,,,,,,,,,147,,18,,13,15,,14,,,,,,,,16,,11,21,,,,,,,,,,,,,,,,,,,,
2015-05-21,60,29,33,29,,13,,15,,,,,,,13,13,,,,,,,,,,,,,111,,18,13,14,16,,14,,,,,,,,16,,,21,,,,,,,,,,,,,,,,,,,,
2015-05-22,59,30,39,28,,14,,15,,,,,,,13,11,,,,,,,,,,,,,119,,18,14,,16,,15,,,,,,,,17,,11,19,,,,,,,,,,,,,,,,,,,,
2015-05-23,59,31,39,28,,15,,15,,,,,,,13,12,,,,,,,,,,,,,119,,17,14,12,16,,15,,,,,,,,17,,,17,,,,,,,,,,,,,,,,,,,,
2015-05-24,59,31,39,28,,15,,15,,,,,,,13,12,,,,,,,,,,,,,113,,17,14,12,16,,15,,,,,,,,21,,,12,,,,,,,,,,,,,,,,,,,,
2015-05-25,60,31,37,28,,14,,15,,,,,,,13,12,,,,,,,,,,,,,105,,17,14,12,16,,15,,,,,,,,21,,,12,,,,,,,,,,,,,,,,,,,,
2015-05-26,60,31,36,28,,14,,15,,,,,,,13,11,,,,,,,,,,,,,105,,17,14,12,16,,15,,,,,,,,21,,,11,,,,,,,,,,,,,,,,,,,,
2015-05-27,59,30,37,28,,14,,15,,,,,,,13,11,,,,,,,,,,,,,89,,17,14,12,15,,15,,,,,,,,21,,11,,,,,,,,,,,,,,,,,,,,,
2015-05-27,59,29,36,28,,14,,15,,,,,,,11,11,,,,,,,,,,,,,86,,17,14,12,15,,16,,,,,,,,19,,11,,,,,,,,,,,,,,,,,,,,,
2015-05-28,60,29,33,28,,14,,15,,,,,,,11,11,,,,,,,,,,,,,79,,17,13,13,15,,16,,,,,,,,19,,11,,,,,,,,,,,,,,,,,,,,,
2015-05-29,61,31,34,28,,14,,15,,,,,,,11,11,,,,,,,,,,,,,102,,16,16,13,15,,17,,,,,,,,16,,11,,,,,,,,,,,,,,,,,,,,,
2015-05-30,59,30,34,28,,14,,15,,,,,,,,11,,,,,,,,,,,,,109,,15,18,14,15,,16,,,,,,14,,15,,11,,,,,,,,,,,,,,,,,,,,,
2015-05-31,59,30,34,28,,14,,15,,,,,,,,11,,,,,,,,,,,,,106,,16,18,14,15,,19,,,,,,14,,16,,11,,,,,,,,,,,,,,,,,,,,,
2015-06-01,59,28,30,29,,14,,16,,,,,,,,11,,,,,,,,,,,,,106,,16,21,15,15,,19,,,,,,14,,16,11,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,59,27,36,29,,14,,15,,,,,,,,11,,,,,,,,11,,,,,85,,15,21,15,15,,19,,,,,,14,,16,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,57,26,36,29,,14,,15,,,,,,,,11,,,,,,,,,,,,,86,,16,21,16,15,,19,,,,,,14,,16,11,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,59,24,36,29,,14,,15,,,,,11,,,11,,,,,,,,,,,,,113,,15,21,16,15,,19,,11,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,55,28,31,29,,,7,16,,10,11,10,11,8,8,5,,,5,,,,,10,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-06,59,28,31,29,,14,,16,,,,,11,,,11,,,,,,,,,,,,,115,18,14,15,14,16,,16,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-07,59,28,31,29,,14,,16,,,11,,11,,,11,,,,,,,,,,,,,90,14,14,15,14,15,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,56,29,30,30,,14,,16,,,11,,11,,,11,,,,,,,,,,,,,83,14,14,15,14,15,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,53,26,32,31,,,7,15,,10,11,10,9,8,8,6,,,,,,,,10,6,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,53,28,31,30,,,7,15,5,10,11,10,9,8,8,5,,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,59,28,31,30,,13,,16,,,11,,11,,,11,,,,,,,,,,,,,89,14,14,15,16,14,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,61,31,37,30,,13,,17,,,11,,,,,10,,,,,,,,,,,,,89,21,14,17,16,14,,17,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-13,58,31,37,30,,,7,17,5,9,12,10,8,8,7,5,,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-14,58,31,37,30,,,7,17,5,9,12,10,8,8,7,5,,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,55,27,37,32,,,7,14,5,9,12,10,7,8,7,5,,,,,,,,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,55,26,34,30,,,7,15,,9,12,10,,8,5,5,,,,,,,,9,6,,,,,,,,,,,,,,9,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,56,26,30,31,,,13,14,,9,11,10,10,7,6,6,,,,,,,,9,6,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,56,24,31,31,,,13,14,,9,11,10,12,6,,6,,,,,,,,9,6,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,55,22,33,31,,12,13,15,,,,,,,,11,,,,,,,,,,,,,95,22,19,18,17,14,,14,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-20,55,22,33,31,,12,13,15,,,,,,,,12,,,,,,,,,,,,,94,22,18,18,17,13,,14,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21,55,22,33,31,8,,13,15,,9,11,10,10,6,,6,,,,,,,,9,6,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,56,23,33,28,,,13,15,,,11,,,,,11,,,,,,,,,,,,,95,30,17,18,16,14,,14,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,57,22,30,28,,,13,14,,,,,13,,,11,,,,,,,,,,,,,91,30,17,18,18,14,,14,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,57,19,29,28,8,,13,12,,9,11,10,9,,,5,,,,,,,5,10,6,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,63,20,27,28,12,,13,12,,,,,,,,12,,,,,,,,12,,,,,91,30,17,16,17,14,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,61,20,29,29,13,,13,12,,10,10,,10,,,5,,,,,,,,12,5,,,5,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-27,64,22,27,28,13,,13,12,,,,,,,,12,,,,,,,,12,,,,,91,42,18,16,19,14,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-28,63,22,29,28,13,,13,,,,,,,,,12,,,,,,,,12,,,,,91,23,19,16,15,14,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,63,24,29,29,13,,13,12,,10,10,,10,,,5,,,,,,,5,12,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,62,24,30,29,13,,13,12,,10,10,8,9,,,5,,,,,,,5,11,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,61,27,28,32,13,,13,12,,10,10,8,10,,,5,,,,,,,5,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,61,30,29,31,13,,13,12,,9,10,,10,,,5,,,,,,,5,11,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,61,31,29,30,13,,13,12,,9,10,8,11,,,5,,,,,,,5,10,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04,61,31,29,30,13,,13,12,,9,10,8,11,,,5,,,,,,,5,10,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05,61,31,29,30,13,,13,12,,9,10,8,11,,,5,,,,,,,5,10,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,62,34,29,29,13,,13,13,,10,10,,13,,5,5,,,,,,5,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,61,31,27,31,27,,13,13,8,10,10,,14,,7,5,,,,,6,5,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,61,30,24,33,31,,12,15,10,10,9,,12,,6,5,,,,,6,5,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,60,27,23,33,31,,11,15,8,10,9,,11,,6,5,,,,,6,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11,59,28,23,32,31,,11,15,8,10,8,,11,,5,5,,,,,6,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,59,28,22,32,31,,11,15,8,10,8,,11,,5,5,,,,,6,5,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,60,31,28,32,27,,11,15,8,10,8,,9,6,5,5,,,,,6,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,60,28,26,37,27,,11,14,9,10,8,,10,6,6,5,,,,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,68,30,25,35,27,19,11,13,9,10,8,,9,,6,5,,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,68,31,27,38,27,,11,13,10,10,8,,12,6,7,5,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,67,36,29,37,22,,11,13,11,10,8,,8,7,6,5,8,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-18,67,36,29,37,22,,11,13,11,10,8,,8,7,6,5,8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-19,67,36,29,37,22,,11,13,11,10,8,,8,7,6,5,8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,67,36,34,36,22,,11,12,11,10,8,,11,7,6,6,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,69,38,27,36,22,,11,12,11,10,9,,8,8,7,7,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,65,36,27,26,22,,11,12,11,10,9,11,8,7,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,65,38,27,26,22,19,18,12,11,10,9,9,8,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
