date,"Medidata Solutions",Hays,Google,Sky,ARM,Thales,"CME Group","Digital Gurus | Digital Recruitment - London, Sydney, Dubai","JPMorgan Chase &amp; Co.",Worldpay,Facebook,"News UK","See More","AllSaints Retail Ltd",BBC,"Computer Futures","Nigel Frank International","QA Apprenticeships","IC Resources","Language Recruitment Services Limited - LRSUK.com",Amazon,"Confidential Company - Undisclosed","Recruitment Genius","Amazon UK","Datascope Recruitment Ltd.","SSA Recruitment Group","American Express","Thomson Reuters",Oracle,"Goldman Sachs","Nationwide Building Society",OpenBet,"Randstad UK",Diamond4jobs.com,"Experis IT","Top Job","Do-it Trust","TechNET IT Recruitment Ltd","British Gas","Baltic Training Services","NHS Institute for Innovation and Improvement","AXA UK",Citi,"NJF Global Holdings Ltd",IBM,Dell,"Hyder Consulting","Bloomberg LP",FinancialForce.com,"Softweb LLC","Propel London",TalentSpa,"1st CENTRAL","techfolk Ltd","NCR Corporation",Microsoft,Cisco,Cognizant,MBDA,"Xpat Jobs.com",CareerBuilder.com,"Job Board Enterprises BV",Adzuna,Monster,TipTopJob,"Job Heaven",Jobs.co.uk,Deloitte,"Page Personnel - UK","2M Employment Solutions Limited",upsell,Incite,"Go IT Recruitment Limited","Coal IT Services","Edgar Cowen","DCS Recruitment Limited","Language Recruitment Services Limited",Symantec,"QA Ltd"
2015-03-24,34,15,9,15,15,8,,,25,,,,8,,,,,37,,,19,,,23,,,,,,,,,,,8,,,,,,,,,,,,,,,,,17,,,,,,9,,,,,,,,,,8,,,,,,,,,29,,
2015-03-25,26,18,8,15,15,8,,,26,,,,8,,,,,37,,,18,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,9,,,,,,,,,,8,,,,10,,,,,29,,
2015-03-26,27,16,8,17,15,8,,,28,,,,8,,,,,37,,,17,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,9,,,,,,,,,,8,,,,9,,,,,26,,
2015-03-27,27,15,8,17,15,,,,27,,,,8,,,,,37,,,19,,,21,,,,,,,,,,,9,,,,,,,,,,,,,,,,,18,,,,,,10,,,,,,,,,,8,,,,9,,,,,26,,
2015-03-28,27,15,8,17,15,,,,28,,,,8,,,,,37,,,19,,,22,,,,,,,,,,,9,,,,,,,,,,,,,,,,,18,,,,,,10,,,,,,,,,,8,,,,9,,,,,26,,
2015-03-29,27,15,,17,15,,,,28,,,,8,,,,,37,,,19,,,23,,,,,,,,,,,9,,,,,,,,,,,,,,,,,16,,,,,,10,,,,,,,,,,8,,,,9,,,,,24,8,
2015-03-30,27,12,,17,15,,,,28,,,,8,,,,,37,,,20,,,22,,,,,,,,,,,9,,,,,,,,,,,,,,,,,16,,,,,,10,,,,,,,,,,8,,,,9,,,,,27,8,
2015-03-31,26,14,,17,14,9,,,27,,,,8,,,,,38,,,17,,,21,,,,,,,,,,,9,,,,,,,,,,,,,,,,,11,,,,,,12,,,,,,,,,,8,,,,9,,,,,23,,
2015-04-01,31,15,8,17,15,10,,,,,,,8,,,,,38,,10,18,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,12,,,,,23,,,,,8,,,,9,,,,,,,
2015-04-02,32,15,9,17,16,,,,,,,,8,,,,,38,,26,11,,,22,,,,,,,,,,,9,,,,,,,,,,,,,,,,,12,,,,,,11,8,,,,21,,,,,8,,,,,,,,,,,
2015-04-03,31,13,10,17,16,,,,,,,,8,,,,,38,,27,9,,,22,,,,,,,,,,,9,,,,,,,,,,,,,,,,,12,,,,,,11,9,,,,28,,,,,8,,,,,,,,,,,
2015-04-04,31,13,10,17,16,,,,,,,,8,,,,,38,,25,9,,,22,,,,,,,,,,,10,,,,,,,,,,,,,,,,,12,,,,,,11,9,,,,28,,,,,8,,,,,,,,,,,
2015-04-05,31,13,10,17,16,,,,,,,,9,,,,,39,,27,9,,,22,,,,,,,,,,,9,,,,,,,,,,,,,,,,,12,,,,,,11,9,,,,28,,,,,,,,,9,,,,,,,
2015-04-06,31,14,10,19,16,,,,,,,,7,,,,,37,,27,12,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,9,,,,28,,,,,,,7,,9,,,,7,,,
2015-04-07,31,13,9,19,16,,,,,,,,9,,,,,39,,28,12,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,11,9,,,,27,,,,,,,,,9,,9,,,,,
2015-04-08,31,13,9,19,16,,,,,,,,9,,,,,39,,25,11,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,11,,,,,28,,,,,,,,,9,,11,10,,,,
2015-04-09,30,16,9,18,15,,,,,,,,8,,,,,39,,23,9,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,11,,,,,26,,,,,8,,,,9,10,,,,,,
2015-04-10,30,18,9,17,14,,,,,,,,8,,,,,39,,23,11,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,11,,,,,26,,,,,8,,,,9,10,,,,,,
2015-04-11,31,18,9,18,14,,,,,,,,8,,,,,39,,,11,,,23,,,,,,,,,,,8,,,,,,,,,,,,,,,,,10,,,,,,11,9,,,,,,,,,8,9,,,9,,,,,,,
2015-04-12,31,17,9,18,14,,,,,,,,8,,,,,39,,,11,,,23,,,,,,,,,,,8,,,,,,,,,,,,,,,,,10,,,,,,11,9,,,,,,,,,8,9,,,9,,,,,,,
2015-04-13,31,18,9,18,14,,,,,,,,8,,,,,39,,,10,,,23,,,,,,,,,,,,,8,,,,,,,,,,,,,,,10,,,,,,11,9,,,,,,,,,8,9,,,9,,,,,,,
2015-04-14,31,17,9,18,11,,,,,,,,8,,,,,39,,19,8,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,,,,,,,,,8,9,8,8,,,,,,,,
2015-04-15,31,21,9,19,14,,,,,,,,8,,,,,39,,18,9,,,21,,,,,,,,,,,10,,9,,,,,,,,,,,,,,,,,,,,,11,10,,,,,,,,,8,9,,,,,,,,,,
2015-04-16,31,16,9,17,15,,,,,,,,8,,,,,39,,28,8,,,20,,,,,,,,,,,9,,8,,,,,,,,,,,,,,,,,,,8,,11,10,,,,,,,,,8,,,,,,,,,,,
2015-04-17,31,15,9,16,15,,,,,,,,8,,,,,39,,,9,,,20,,,,,,,,,,,9,,9,,,,,,,,,,,,,,,,,,,8,,11,10,,116,,,,,,,8,,,,,,,,,,,
2015-04-18,32,15,,14,15,,,,,,,,13,,,,,40,,29,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,765,107,41,24,17,,13,13,,,,,,,,,,,,
2015-04-19,32,15,,14,15,,,,,,,,14,,,,,40,,29,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,1312,125,33,27,17,16,14,,,,,,,,,,,,,
2015-04-20,32,12,,14,15,,,,,,,,12,,,,,40,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,1227,131,39,27,17,15,14,12,,,,,,,,,,,,
2015-04-21,33,15,9,14,14,,,,,11,,,9,,,,,42,,29,,,,20,,,,,,,,,,,,,11,,,,,,,,,,,,,,,13,,,9,9,,11,10,,,,,,,,,,,,,,,,,,,,
2015-04-22,35,18,9,14,14,,,,,11,,,8,,,,,42,,,11,,,20,,,,,,,,,,,,,12,,,,,,,,,,,,,,,11,,,8,10,,10,10,,,,,,,,,,,,,,,,,,,,
2015-04-23,33,15,,12,12,,,,,11,,,10,,,,,42,,29,10,,,19,,,,,,,,,,,,,11,,,,,,,,,,,,,,,11,,,,10,10,11,10,,,,,,,,,,,,,,,,,,,,
2015-04-24,33,17,,14,12,,,,,12,,,9,,,,,41,,29,11,,,18,,,,,,,,,,,,,11,,,,,,,,,,,,,,,13,,,,9,10,10,10,,,,,,,,,,,,,,,,,,,,
2015-04-25,33,16,9,14,12,,,,,12,,,9,,,,,42,,,11,,,17,,,,,,,,,,,,,11,,,,,,,,,,,,,,,13,,,,9,10,10,10,,,,,,,,,,,,,,,,,,,,
2015-04-26,33,15,,14,12,,,,,12,,,9,,,,,42,,28,11,,,18,,,,,,,,,,,,,11,,,,,,,,,,,,,,,13,,,,9,10,10,10,,,,,,,,,,,,,,,,,,,,
2015-04-27,33,21,9,14,12,,,,,11,,,9,,,,,42,,29,,,,18,,,,,,,,,,,,,12,,,,,,,,9,,,,,,,13,,,,,9,10,10,,,,,,,,,,,,,,,,,,,,
2015-04-28,33,21,9,15,12,,,,,11,,,9,,,,,42,,27,9,,,17,,,,,,,,,,,9,,12,,,,,,,,9,,,,,,,14,,,,9,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,34,21,9,15,12,,,,,12,,,8,,,,,43,,27,10,,,17,,,,,,,,,,,,,12,,,,,,,,9,,,,,,,16,,,,9,8,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,32,20,9,15,12,,,,,12,,,8,,,,,43,,,9,,,19,,,,8,,,,,,,,,12,,,,,,,,8,,,,,,,16,,,,9,11,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,32,21,10,15,12,,,,,12,,,9,,,,,43,,23,9,,,19,,,,,,,,,,,,,12,,,,,,,,,,,,,,,16,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,
2015-05-02,32,20,10,14,12,,,,,12,,,9,,,,,43,,28,9,,,19,,,,,,,,,,,,,12,,,,,,,,,,,,,,,16,,,9,9,10,,,,,,,,,,,,,,,,,,,,,,
2015-05-03,33,20,9,12,12,,,,,12,,,9,,,,,43,,14,9,,,17,,,,,,,,,,,,,12,,,,,,,,,,,,,,,16,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,33,16,9,,12,9,,,,12,,,9,,,,,43,,29,10,21,,18,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,33,16,9,9,12,9,,,,12,,,9,,,,,43,,30,10,21,,17,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,9,9,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,30,17,10,15,11,10,,,,11,,,9,,,,,43,,,10,22,,16,,,,,,,,,,,,,13,,,,,,,,10,,,,,,,11,,,9,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,30,22,10,15,11,,,,,11,,,9,,,,,44,,29,10,21,,17,,,,,,,,,,,,,13,,,,,,,,10,,,,,,,11,,,9,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,30,16,11,15,11,,,,,11,,,9,,,,,44,,27,9,22,,17,,,,,,,,,,,,,13,,,,,,,,10,,,,,,,14,,,9,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-09,30,16,11,13,11,,,,,11,,,9,,,,,44,,27,9,23,,17,,,,,,,,,,,,,13,,,,,,,,11,,,,,,,12,,,9,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-10,30,16,11,13,11,,,,,11,,,11,,,,,44,14,17,,20,,17,,,,,,,,,,,,,13,,,,12,,,,11,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,30,10,11,14,11,10,,,,11,,,10,,,,,43,34,28,,20,,17,,,,,,,,,,,,,14,,,,,,,,12,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,31,13,11,14,11,,,,,,,,9,,,,,43,34,28,,20,,17,,,,,,,,,,,,,14,,,,,,10,,12,,,,,,,18,,,9,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,31,15,11,17,11,10,,,,,,,10,,,,,46,37,26,,20,,17,,,,,,,,,,,,,14,,,11,,,,,12,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,30,18,11,17,11,,,,,,,,11,,,,,46,35,,,20,,18,,,,,,,,,,,,,14,,,11,,,,,12,,,,,,,19,12,14,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,30,18,,20,11,,,,,,,,11,,,,,46,33,28,,20,,18,,,,,,,,,,,,,14,,,,,,,,12,,,,,,,19,12,14,11,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-16,30,16,,19,11,,,,,,,,11,,,,,46,58,,,20,,18,,,,,,,,,,,,,14,,,,,,11,,12,,,,,,,19,12,13,11,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-17,31,16,,19,11,,,,,,,,11,,,,,46,64,30,23,12,,18,,,,,,,,,,,,,12,,,,,,11,,12,,,,,,,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,32,17,,18,11,,,,,,,,11,,,,,46,69,29,23,,,18,,,,,,,,,,,13,,12,,,11,,,,,11,,,,,,,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,31,17,,18,11,,,,,,,,11,,,,,46,60,28,23,,,18,,,,,,,,,,,15,,12,,,,,,,,11,,,,,16,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,31,16,,18,12,,,,,,,,10,,,,,46,63,29,25,,,19,,,,10,,,,,,,14,,10,,,,,,10,,11,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,30,33,9,18,12,,,,,,,,9,,,,,46,50,29,23,,,19,,,,10,,,,,,,12,,,,,,,,10,,11,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,30,35,9,18,12,10,,,,,,,9,,,,,46,55,,23,,,17,,,,10,,,,,,,16,,,,,10,,,,,11,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-23,31,34,9,18,13,10,,,,,,,9,,,,,46,55,31,22,,,17,,,,,,,,,,,18,12,,,,,,,,,11,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-24,31,34,,18,13,10,,,,,,,10,,,,,46,51,30,22,,,17,,,,,,,,,,,22,12,,,,10,,,,,11,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,33,30,9,18,13,10,,,,,,,9,,,,,46,51,26,22,,,17,,,,,,,,,,,22,12,,,,,,,,,10,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,33,30,,18,13,,,,,,,,10,,,,,46,51,30,22,,,18,,,,,,,,,,,22,12,15,,,10,,,,,10,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,33,27,,18,12,,,,,,,,10,,,,,46,45,25,22,,,18,,,,,,,,,,,23,12,15,,,10,,,,,10,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,33,30,9,18,12,9,,,,,,,9,,,,,46,44,25,22,,,18,,,,,,,,,,,23,12,15,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,33,33,9,18,12,,,,,,,,9,,,,,46,45,25,23,,,19,,,,10,,,,,,,24,12,12,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,33,27,,18,12,,,,,,,,9,,,,,46,52,27,23,,,20,,,,10,,,,,,,22,13,13,,,,,,,,9,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-30,33,27,,18,12,,,,,,,,10,,,,,46,57,,21,,,18,,,,11,,,,,,,16,13,13,,,,,,,,10,,,,,14,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,32,27,9,18,12,8,,,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,32,21,9,17,12,8,,,,6,,,5,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,32,22,,17,12,,,,,,,,10,,,,,46,48,32,21,,,21,,,,12,15,,,,,,17,,13,,,,,,,10,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,30,25,,16,11,,,,,,,,10,,,,,46,48,31,22,,,21,,,,12,15,,,,,,17,,10,,,,,,,10,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,30,24,,16,,10,,,,,,,10,,,,,46,57,28,21,,,21,,,13,12,17,,,,,11,,,10,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,30,23,,13,,10,,,,,,,10,,,,,46,58,33,21,,,22,,,13,11,14,,,,,11,,,,,,,,,10,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-06,31,22,9,11,9,8,,,7,,,,5,,,,,,,,,,,20,,,,,,,,,,,,,10,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-07,31,21,,11,,,,,,,,,10,,,,,48,49,29,19,20,,21,,,11,11,14,,,,,11,,,10,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,30,29,,11,,,,,,,,,9,,,,,48,47,33,19,20,,21,,,13,,15,,,,,,,,10,,,,,,11,10,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,32,30,,,,,,,,,,,9,,,,,48,47,33,19,22,,21,,,13,,16,,,,,,14,,10,,,10,,,11,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,31,25,9,,,,,,,,,,9,,,,,49,46,,19,20,,21,,,13,,16,,,,,,14,,,,,10,,,10,11,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,31,24,9,,9,8,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,8,,,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,31,22,9,,9,8,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-13,31,22,9,10,9,8,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-14,33,22,9,10,9,8,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,33,23,,,10,,,,,,,,9,,,,,50,48,,19,20,,22,,,12,,13,,,,,,18,12,,,,10,,,,11,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,33,28,9,,11,7,,,,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,33,28,,,15,,,,,,,,10,,,,,49,46,31,26,27,,23,,,12,,13,,,,,,19,12,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,35,28,9,,15,7,,,6,,6,,5,,5,,,,,,,,,,,,,,,,,,,,,,8,5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,35,27,9,,14,7,,,7,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-20,35,27,,,14,,,,,,,,11,,,,,51,46,32,26,25,,21,,,15,,17,,,,,12,23,12,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21,35,27,,,14,,,,,,,,11,,,,,51,45,31,26,21,,22,,,14,11,17,,,,,12,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,34,25,,,14,,,,,,,,11,,,,,50,45,32,26,21,,21,,,13,11,15,,,,,,23,11,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,34,24,9,,13,,,,6,,6,,5,,6,,,,,,,,,,,,,,,6,,5,,,,,8,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,34,25,,,14,,,,,,,,12,,,,,51,45,30,26,21,,22,,,14,13,17,,,,,13,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,32,19,,,14,,,,,,,,12,,,,,51,45,29,27,21,,22,,17,14,13,15,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,29,21,10,,14,,,,,,,,10,,,,,51,45,31,28,39,,23,,17,14,14,16,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-27,29,21,,,14,,,,,,,,11,,,,,51,45,31,28,39,24,23,,16,14,13,11,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-28,29,22,10,,14,,,,6,,6,,5,5,10,,,,,,,,,,,,,,,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,29,21,,,14,,,,,,,,13,,,,72,51,47,33,28,25,24,24,,16,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,29,21,,,14,,,,,,,,13,,,88,72,51,47,33,28,25,24,24,18,16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,31,22,11,11,14,,,,6,6,6,,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,31,22,11,9,13,,,5,6,5,6,,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-03,31,24,11,8,13,9,,5,,5,6,,5,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-04,31,24,11,8,14,9,,5,,5,6,,5,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-05,31,24,11,8,14,8,,5,,5,6,,5,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,31,28,11,,14,9,,6,6,5,6,,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,30,29,12,8,14,9,,6,8,5,6,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,30,29,13,8,14,9,7,6,6,5,6,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,30,28,13,,14,9,7,6,,6,6,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11,30,28,13,8,14,9,7,6,,6,6,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,30,28,13,8,14,9,7,6,,6,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,29,26,13,12,14,8,7,6,,5,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,30,24,18,13,14,8,7,6,,5,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,30,26,17,12,14,9,7,6,,6,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,29,26,18,11,14,9,7,6,9,6,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
