date,Paris,Lyon,Lille,Nantes,Marseille,Rennes,Bordeaux,Toulouse,Chambéry,Montpellier,Orléans,Metz,Mulhouse,"See More","Le Havre",Tours,Reims,Nice,Strasbourg,Grenoble,Saint-Étienne,Rouen,Rhone-Alpes,Bourges,Dijon,Pau,Limoges,"La Rochelle",Clermont-Ferrand
2015-07-01,306,39,23,16,19,12,20,33,,,12,,13,11,,,,11,16,11,11,,,,,,,,
2015-07-02,310,40,23,16,18,14,20,36,,,12,5,13,5,,,,11,,,,,,,,,,,
2015-07-03,315,44,21,15,17,16,25,38,,,12,7,14,7,,,,9,,,,,,,,,,,
2015-07-04,315,44,13,15,18,16,27,36,,,12,6,14,6,,,,8,,,,,,,,,,,
2015-07-05,323,44,14,24,18,20,28,39,,,12,6,14,6,,,,9,,,,,,,,,,,
2015-07-06,329,44,14,24,18,20,27,39,,,12,6,13,6,,,,9,,,,,,,,,,,
2015-07-07,338,43,18,18,18,16,26,37,,,11,6,12,6,,,,9,,,,,,,,,,,
2015-07-08,353,45,27,23,19,16,23,27,,,13,9,12,5,,5,,8,,,,,,,,,,,
2015-07-09,330,43,27,19,17,16,22,37,,,11,6,12,6,,,,7,,,,,,,,,,,
2015-07-10,328,46,25,20,15,17,24,37,,,13,7,12,7,,,,7,,,,,,,,,,,
2015-07-11,341,45,29,25,18,17,24,29,,,15,10,,8,,,,8,,,,,,,,,,,
2015-07-12,353,43,31,23,21,16,23,31,,12,11,10,,10,,,,,,,,,,,,,,,
2015-07-13,358,42,32,25,21,16,23,30,11,,12,,,8,8,,,,,,,,,,,,,,
2015-07-14,359,47,32,25,20,16,24,28,11,,12,,,8,8,,,,,,,,,,,,,,
2015-07-15,359,46,31,26,21,18,23,29,10,,10,,,5,,5,7,,,,,,,,,,,,
2015-07-16,355,48,31,26,20,18,23,26,9,,10,,13,5,,5,7,,,,,,,,,,,,
2015-07-17,353,47,31,25,19,19,23,26,10,,10,,12,5,,6,5,,,,,,,,,,,,
2015-07-18,348,46,31,25,19,19,21,26,10,,9,,12,5,,6,5,,,,,,,,,,,,
2015-07-19,338,45,31,28,20,20,22,26,10,,10,,11,5,,5,6,,,,,,,,,,,,
2015-07-20,337,45,32,28,20,20,22,26,10,,10,,10,5,,5,6,,,,,,,,,,,,
2015-07-21,338,48,32,26,21,21,21,24,,8,9,9,9,6,,6,,,,,,,,,,,,,
2015-07-22,347,48,31,,21,22,21,23,9,10,9,9,8,8,8,,,,,,,,,,,,,,
2015-07-23,345,39,32,28,23,22,21,20,11,11,11,8,8,8,,,,,,,,,,,,,,,
